source_path,target_path,current_role,source_exists_before,target_exists_before,action,result,reason,reference_required,reference_evidence,next_action
docs/reports/task_406_deterministic_decision_rebuild,docs/archive/reports/2026_06/task_406_deterministic_decision_rebuild,diagnostic_backtests,TRUE,FALSE,SKIP_MOVE,SKIPPED_REFERENCE_REQUIRED,A001 marks reference_required and search found registry/artifact migration references,TRUE,tasks/archive_candidate_registry.csv + docs/artifact_migration_plan.csv,Plan and update references before move
docs/reports/task_401_forward_live_canonical_multifactor_decision_layer,docs/archive/reports/2026_06/task_401_forward_live_canonical_multifactor_decision_layer,diagnostic_backtests,TRUE,FALSE,SKIP_MOVE,SKIPPED_REFERENCE_REQUIRED,A001 marks reference_required and search found registry/artifact migration references,TRUE,tasks/archive_candidate_registry.csv + docs/artifact_migration_plan.csv,Plan and update references before move
docs/reports/task_407_raw_native_vectorized_rebuild,docs/archive/reports/2026_06/task_407_raw_native_vectorized_rebuild,diagnostic_backtests,TRUE,FALSE,SKIP_MOVE,SKIPPED_REFERENCE_REQUIRED,A001 marks reference_required and search found registry/artifact migration references,TRUE,tasks/archive_candidate_registry.csv + docs/artifact_migration_plan.csv,Plan and update references before move
docs/reports/task_487_regime_phase_target_validation,docs/archive/reports/2026_06/task_487_regime_phase_target_validation,superseded_reports,TRUE,FALSE,SKIP_MOVE,SKIPPED_REFERENCE_REQUIRED,A001 marks reference_required and search found registry/archive references,TRUE,tasks/archive_candidate_registry.csv + A001 archive candidates,Plan and update references before move
docs/reports/task_480_symbol_structure_continuation_diagnostics,docs/archive/reports/2026_06/task_480_symbol_structure_continuation_diagnostics,superseded_reports,TRUE,FALSE,SKIP_MOVE,SKIPPED_REFERENCE_REQUIRED,A001 marks reference_required and search found registry/artifact migration references,TRUE,tasks/archive_candidate_registry.csv + docs/artifact_migration_plan.csv,Plan and update references before move
docs/reports/task_396_forward_live_cost_constrained_validation,docs/archive/reports/2026_06/task_396_forward_live_cost_constrained_validation,diagnostic_backtests,TRUE,FALSE,SKIP_MOVE,SKIPPED_REFERENCE_REQUIRED,A001 marks reference_required and search found registry/artifact migration references,TRUE,tasks/archive_candidate_registry.csv + docs/artifact_migration_plan.csv,Plan and update references before move
graphify-out,docs/archive/graphify/2026_04_graphify_out,old_gpt_loops,TRUE,FALSE,SKIP_MOVE,SKIPPED_REFERENCE_REQUIRED,A001 marks reference_required and search found docs/scripts references,TRUE,docs/INDEX.md + scripts/operating_closeout_validate.py + historical reports,Regenerate or update graphify references before move
docs/obsidian,docs/archive/navigation/obsidian_2026_06_only_if_user_approves,duplicate_navigation_docs,TRUE,FALSE,SKIP_MOVE,SKIPPED_REFERENCE_REQUIRED,A001 marks reference_required and search found Obsidian application references,TRUE,docs/reports/task_obsidian_vault_application + docs/INDEX.md,Owner decision required before moving human navigation vault
docs/reports/task_595_feedback_integrated_development_plan,docs/archive/reports/2026_06/task_595_feedback_integrated_development_plan,superseded_reports,TRUE,FALSE,SKIP_MOVE,SKIPPED_REFERENCE_REQUIRED,A001 marks reference_required and search found task registry and daily feedback references,TRUE,tasks/task_registry.csv + daily feedback reports,Update registry/report references before move
docs/reports/task_596_daily_feedback_complete_application,docs/archive/reports/2026_06/task_596_daily_feedback_complete_application,superseded_reports,TRUE,FALSE,SKIP_MOVE,SKIPPED_REFERENCE_REQUIRED,A001 marks reference_required and search found task registry and daily feedback references,TRUE,tasks/task_registry.csv + daily feedback reports,Update registry/report references before move

