artifact_path,artifact_type,role,status,row_count,validation,notes
scripts/project_file_inventory_audit.py,output,inventory_classifier,created,not_applicable,validation_passed,Scans repository files excluding .git and emits classification CSVs.
docs/reports/A005_full_file_inventory_audit/file_inventory.csv,output,full_inventory,created,14958,validation_passed,Full repository file inventory excluding .git.
docs/reports/A005_full_file_inventory_audit/classification_summary.csv,output,class_summary,created,25,validation_passed,Counts and bytes by inventory class.
docs/reports/A005_full_file_inventory_audit/top_dir_summary.csv,output,top_dir_summary,created,35,validation_passed,Counts and bytes by top-level path.
docs/reports/A005_full_file_inventory_audit/delete_safe_candidates.csv,output,delete_candidate_manifest,created,853,validation_passed,Regenerable generated cache candidates only.
docs/reports/A005_full_file_inventory_audit/needs_review_candidates.csv,output,owner_review_manifest,created,1262,validation_passed,Files that require owner review before delete or move.
docs/reports/A005_full_file_inventory_audit/archive_review_candidates.csv,output,archive_review_manifest,created,2147,validation_passed,Large report and historical/archive-review candidates.
docs/reports/A005_full_file_inventory_audit/protected_keep_files.csv,output,protected_keep_manifest,created,10696,validation_passed,Critical protected files and KEEP recommendations.
docs/reports/A005_full_file_inventory_audit/cleanup_action_plan.csv,output,next_loop_plan,created,4,validation_passed,Recommended next governance loops after full inventory.
docs/reports/A005_full_file_inventory_audit/full_file_inventory_audit_report.md,output,task_report,created,not_applicable,validation_passed,A005 report following docs/report_standard.md.
tasks/active_task_registry.csv,output,active_registry_update,updated,5,validation_passed,A005 row added.
docs/active/CURRENT_TASKS.md,output,current_tasks_update,updated,not_applicable,validation_passed,A005 recorded and next loops updated.
docs/active/PROJECT_STATUS.md,output,project_status_update,updated,not_applicable,validation_passed,A005 inventory status added.
docs/active/ACTIVE_SSOT_INDEX.md,output,ssot_index_update,updated,not_applicable,validation_passed,A005 inventory classifier and report added to active governance evidence.
docs/active/CODEX_READ_SCOPE.md,output,read_scope_update,updated,not_applicable,validation_passed,Cleanup read scope now includes A005 inventory outputs.
