field,value
task742_historical_packet_artifact,UNRECOVERABLE_ARTIFACT
original_expected_packet_count,3443
exact_filename_search,NOT_FOUND
schema_based_search,NOT_FOUND
manifest_size_match_search,NOT_FOUND
remote_raw_artifact_availability,NOT_DOWNLOADABLE
golden_replay_status,UNAVAILABLE
task742_specific_calibration_status,FORBIDDEN
replacement_path,NEW_CANONICAL_DIAGNOSTIC_L3_REBUILD
replacement_path_caveat,NOT_TASK742_GOLDEN_REPLAY
allowed_claim,CANONICAL_SOURCE_EVENT_DIAGNOSTIC_CONTEXT_ONLY
forbidden_claim,HISTORICAL_TASK742_REPRODUCTION
