task_id,layer,decision,status,evidence,blocked_by,next_action,authority
Task931,controlled replay execution,execute first controlled brain replay from Task929 specs,implemented,data/artifacts/task_931_940_controlled_brain_replay/task931_controlled_replay_trades.csv,diagnostic_only_not_acceptance,analyze underperformance versus QQQ,DIAGNOSTIC_CONTROLLED_BRAIN_REPLAY_ONLY
Task932,equity curve,produce cash limited equity curve,implemented,data/artifacts/task_931_940_controlled_brain_replay/task932_controlled_replay_equity_curve.csv,max_drawdown_high,run drawdown and regime failure decomposition,DIAGNOSTIC_CONTROLLED_BRAIN_REPLAY_ONLY
Task933,split analysis,report development OOS1 OOS2 replay slices,implemented,data/artifacts/task_931_940_controlled_brain_replay/task933_controlled_replay_by_split.csv,oos2_2026_q1_negative,diagnose recent OOS weakness before adapter changes,DIAGNOSTIC_CONTROLLED_BRAIN_REPLAY_ONLY
Task934,theme analysis,report theme-level contribution,implemented,data/artifacts/task_931_940_controlled_brain_replay/task934_controlled_replay_by_theme.csv,data_devops_negative_and_theme_spread,review theme-specific adapter filters,DIAGNOSTIC_CONTROLLED_BRAIN_REPLAY_ONLY
Task935,skip analysis,record skipped orders,implemented,data/artifacts/task_931_940_controlled_brain_replay/task935_controlled_replay_skipped_orders.csv,182_orders_cash_scaled_to_zero,review cohort sizing and cash concurrency,DIAGNOSTIC_CONTROLLED_BRAIN_REPLAY_ONLY
Task936,summary,compare strategy versus QQQ,implemented,data/artifacts/task_931_940_controlled_brain_replay/task936_controlled_replay_summary.json,qqq_outperformed_strategy,do not claim acceptance; run failure decomposition,DIAGNOSTIC_CONTROLLED_BRAIN_REPLAY_ONLY
Task937,source manifest,record replay source hashes,implemented,data/artifacts/task_931_940_controlled_brain_replay/task937_replay_source_manifest.csv,diagnostic_market_manifest_only,keep replay reproducible before policy edits,DIAGNOSTIC_CONTROLLED_BRAIN_REPLAY_ONLY
Task938,validation,validate replay artifacts and status boundaries,implemented,scripts/trader_brain_931_940_controlled_replay_validate.py,tests_do_not_mean_acceptance,keep validation separate from strategy acceptance,DIAGNOSTIC_CONTROLLED_BRAIN_REPLAY_ONLY
Task939,comparison interpretation,record benchmark-relative failure,implemented,docs/reports/task_931_940_controlled_brain_replay/task_931_940_controlled_brain_replay.md,positive_absolute_return_but_benchmark_underperformance,prioritize failure decomposition over more broad inputs,DIAGNOSTIC_CONTROLLED_BRAIN_REPLAY_ONLY
Task940,governance closeout,close replay without acceptance or deployment claim,implemented,data/artifacts/task_931_940_controlled_brain_replay/task940_governance_closeout.csv,strategy_not_accepted,design Task941-950 failure decomposition,DIAGNOSTIC_CONTROLLED_BRAIN_REPLAY_ONLY
