metric,value,status,notes
capability_sources,9,PRIMARY_PASS,Capability probe v2 processed all configured context sources.
capability_modes,"rss_or_atom:7 api_or_official_index:1 sitemap_or_news_sitemap:1",PRIMARY_PASS,Machine-readable first routes exist without Chrome fallback.
smoke_v3_rows,65,PRIMARY_PASS,Real-network collector smoke produced context rows across 9 sources.
smoke_v3_l1_ready,65,PRIMARY_PASS,All smoke rows were L1-ready discovery rows.
smoke_v3_l1_blocked,0,PRIMARY_PASS,No context row was blocked for missing ticker mapping.
l2_smoke_facts,65,PRIMARY_PASS,L2 canonical news_event facts materialized and validators passed.
background_pid,23836,PRIMARY_PASS,Regular public_context_news_feeds background collector started.
background_rows_snapshot,133,PRIMARY_PASS,Status snapshot showed 133 background rows and zero L1 blocked rows.
backfill_smoke_rows,32,PRIMARY_PASS,Real-network 2016-01 smoke produced Federal Register and Federal Reserve historical rows.
backfill_smoke_l1_ready,32,PRIMARY_PASS,All backfill smoke rows were L1-ready discovery rows.
backfill_l2_smoke_facts,32,PRIMARY_PASS,L2 canonical news_event facts materialized for backfill smoke and validators passed.
cftc_backfill_smoke_rows,37,PRIMARY_PASS,Real-network 2016 CFTC archive smoke produced 37 rows and zero L1 blocks.
cftc_backfill_l2_smoke_facts,37,PRIMARY_PASS,L2 canonical news_event facts materialized for CFTC smoke and validators passed.
backfill_background_pid,22444,PRIMARY_PASS,Separate historical backfill worker restarted with Federal Register Federal Reserve and CFTC.
backfill_background_rows_snapshot,5972,PRIMARY_PASS,Status snapshot showed 5972 backfill rows and zero L1 blocked rows.
historical_full_backfill,PARTIAL_RUNNING,NOT_ACCEPTED,Federal Register Federal Reserve and CFTC are running; other context sources still need source-specific archive routes before full 2016 plus coverage can be claimed.
official_expansion_default_sources,17,PRIMARY_PASS,Default context watcher now includes ECB BoE EIA Defense and World Bank alongside original sources; BIS is disabled due robots disallow.
official_expansion_smoke_v2_rows,36,PRIMARY_PASS,Real-network smoke produced 36 rows from 8 promoted official/public expansion sources with zero blocked rows.
official_expansion_smoke_v2_l1_ready,36,PRIMARY_PASS,All official expansion smoke rows were L1-ready discovery rows.
official_expansion_smoke_v2_l1_blocked,0,PRIMARY_PASS,No official expansion row was blocked for ticker mapping or source evidence.
worldbank_backfill_smoke_v1_rows,11,PRIMARY_PASS,World Bank public news API offset backfill smoke produced 11 rows and stored cursor offset 20.
official_expansion_l2_smoke_facts,47,PRIMARY_PASS,L2 canonical news_event facts materialized from official expansion and World Bank backfill smoke and validators passed.
bis_rss_promotion,BLOCKED_ROBOTS,NOT_PROMOTED,BIS doclist RSS responds but robots disallows /doclist/ so it remains disabled pending policy review.
