task_id,layer,decision,status,evidence,blocked_by,next_action,authority
Task941,selection features,build ex-ante L3/L4 selection feature panel,implemented,data/artifacts/task_941_950_slot_capped_selection_replay/task941_selection_feature_panel.csv,features_not_strong_enough_for_30_cagr,strengthen source-backed conviction features without outcome leakage,DIAGNOSTIC_SLOT_CAPPED_SELECTION_REPLAY_ONLY
Task942,slot selection,select only top candidates under slot caps 3 5 10,implemented,data/artifacts/task_941_950_slot_capped_selection_replay/task942_slot_capped_selection_ledger.csv,slot3_and_slot5_mdd_too_high,prefer slot10 for current diagnostic branch,DIAGNOSTIC_SLOT_CAPPED_SELECTION_REPLAY_ONLY
Task943,slot replay trades,replay selected trades with slot caps,implemented,data/artifacts/task_941_950_slot_capped_selection_replay/task943_slot_capped_replay_trades.csv,diagnostic_only,run failure decomposition before policy promotion,DIAGNOSTIC_SLOT_CAPPED_SELECTION_REPLAY_ONLY
Task944,equity curves,produce equity curves with enforced max open positions,implemented,data/artifacts/task_941_950_slot_capped_selection_replay/task944_slot_capped_equity_curves.csv,cagr_target_not_met,analyze equity drawdown and exposure timing,DIAGNOSTIC_SLOT_CAPPED_SELECTION_REPLAY_ONLY
Task945,skipped orders,record skipped slot replay orders,implemented,data/artifacts/task_941_950_slot_capped_selection_replay/task945_slot_capped_skipped_orders.csv,no_material_skip_blocker,continue with slot selection diagnostics,DIAGNOSTIC_SLOT_CAPPED_SELECTION_REPLAY_ONLY
Task946,slot comparison,compare slot 3 5 10 against target and QQQ,implemented,data/artifacts/task_941_950_slot_capped_selection_replay/task946_slot_capped_summary.csv,no_slot_reaches_30_cagr,design stricter ex-ante candidate rejection,DIAGNOSTIC_SLOT_CAPPED_SELECTION_REPLAY_ONLY
Task947,split summary,report split/OOS behavior by slot cap,implemented,data/artifacts/task_941_950_slot_capped_selection_replay/task947_slot_capped_by_split.csv,oos2_small_positive_but_not_decisive,avoid overclaiming recent OOS,DIAGNOSTIC_SLOT_CAPPED_SELECTION_REPLAY_ONLY
Task948,source manifest,record source hashes for slot replay,implemented,data/artifacts/task_941_950_slot_capped_selection_replay/task948_slot_capped_source_manifest.csv,diagnostic_sources_only,keep reproducibility before edits,DIAGNOSTIC_SLOT_CAPPED_SELECTION_REPLAY_ONLY
Task949,target gap interpretation,record CAGR/MDD/QQQ gap,implemented,docs/reports/task_941_950_slot_capped_selection_replay/task_941_950_slot_capped_selection_replay.md,cagr_30_not_met,prioritize candidate quality filter and drawdown-aware selection,DIAGNOSTIC_SLOT_CAPPED_SELECTION_REPLAY_ONLY
Task950,governance closeout,close slot-capped replay without acceptance claim,implemented,data/artifacts/task_941_950_slot_capped_selection_replay/task950_slot_capped_governance_closeout.csv,strategy_not_accepted,design Task951-960 conviction and drawdown filter pass,DIAGNOSTIC_SLOT_CAPPED_SELECTION_REPLAY_ONLY
