rank,source_family,severity,missing_layers,closed_layers,authority_status,required_next_evidence,forbidden_action
1,authority_evidence_ledger,P0_BLOCKER,strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
2,broker_truth_reconciliation,P0_BLOCKER,strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
3,catalog_report_artifacts,P0_BLOCKER,freshness_gate;strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
4,daily_ohlcv,P0_BLOCKER,strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
5,diagnostic_runtime_heartbeats,P0_BLOCKER,strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
6,frontend_read_models,P0_BLOCKER,freshness_gate;strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
7,indicator_snapshots,P0_BLOCKER,freshness_gate;strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
8,macro_rates,P0_BLOCKER,freshness_gate;strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
9,market_bars_5m,P0_BLOCKER,freshness_gate;strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
10,market_ticks_intraday,P0_BLOCKER,freshness_gate;strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
11,runtime_strategy_decisions,P0_BLOCKER,strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
12,sec_events,P0_BLOCKER,freshness_gate;strict_gate;proxy_gate,source_receipt;reference_hash;lineage_edge;freshness_gate;strict_gate;proxy_gate,BLOCKED_DIAGNOSTIC_ONLY,Independent proof that each evidence layer is complete and that strict/proxy gates may remain closed or be reviewed separately.,"No synthetic authority, gate opening, source acquisition, DB mutation, broker call, or paper/live permission."
