artifact_path,artifact_type,role,status,row_count,validation,notes
docs/reports/A004_project_management_system_audit/management_system_audit_report.md,output,task_report,created,not_applicable,validation_passed,A004 operating-system audit report.
docs/reports/A004_project_management_system_audit/management_system_audit_matrix.csv,output,audit_matrix,created,14,validation_passed,Requirement-by-requirement evidence matrix.
docs/reports/A004_project_management_system_audit/coderabbit_status.md,output,coderabbit_status,created,not_applicable,coderabbit_auth_blocked,CodeRabbit CLI installed in WSL but review blocked by browser authentication timeout.
scripts/active_task_registry_validate.py,output,validator,created,not_applicable,validation_passed,Machine validation for active task registry.
scripts/governance_completion_audit.py,output,validator_update,updated,not_applicable,validation_passed,Governance audit now includes active docs and active registry validation.
docs/active/PROJECT_STATUS.md,output,active_status_update,updated,not_applicable,validation_passed,A002/A003 cleanup status corrected.
docs/active/CURRENT_TASKS.md,output,current_tasks_update,updated,not_applicable,validation_passed,Stale next recommendations corrected and A004 recorded.
docs/active/CODEX_READ_SCOPE.md,output,read_scope_update,updated,not_applicable,validation_passed,Cleanup read scope includes active registry validator.
docs/active/ACTIVE_SSOT_INDEX.md,output,ssot_index_update,updated,not_applicable,validation_passed,Active validator listed.
tasks/active_task_registry.csv,output,active_registry_update,updated,4,validation_passed,A004 audit row added.
