relative_path,artifact_class,size_bytes,sha256
accepted_priority_delta.csv,small_table,757,c23a1effaed800f8b383d567240a7bd344274e2fd638b5db91a86f22b126ae76
artifact_manifest.csv,small_table,1175,ffba46e75810f6689d025d1923606b657ddffd92818e3a8e38c1b11cd666e56a
relation_priority_candidate_grid.csv,small_table,2403,341d4bf417369ba2a7f0974078b4c045e61c79a406e5f56f921558470442610e
relation_priority_candidate_specs.csv,small_table,803,56a57ee19e90ae89b6ec9956616e0149186fe02a70c431ea42003a640ff202fb
relation_priority_ladder.csv,small_table,821,a6a2e0a882f14be43c3720b820a1757ea9fd2ce0e385d81199917b046b905d3c
relation_priority_promotion_report.csv,small_table,1727,c4f882bab6577b6eda8e13217aef19105d444dd5da0eb4e5350d47b29282a4ab
slot_collision_audit.csv,small_table,5302,cb3870785d5e3372f420b77a4da44acdddbab975906f547e438def3fdc4ba54f
task_664_decision.csv,decision,677,f8452522059001e066d90ad1aa2d8262e8f468fc42be74a191eb7a9728c965aa
task_664_gpt_review_packet.md,report,1073,e2ba7fb30eb67530f12c706f969de180aec3e525233cd07bf948e39c228d36c7
task_664_gpt_review_response.md,report,1544,8b769c185d1b9eb019de567bc9cbf4ceaba75eba22a29ad00c86de9ae970b74c
task_664_pass_fail_matrix.csv,small_table,586,9573d1c1364f00c685f33a774da153268ce295509d1ac60c17b423fd7f8e3e3e
task_664_relation_priority_backtest.md,report,10514,1590fba3e566c4d2aef2c08ce3819e7e1814f16030713c1122fbb9e07adefb92
