relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1499,53d662f88c2c9a239fb39f23b8ac939d2bf3b9e681951b786cead8837f690614
continuation_confirmation_simulation.csv,small_table,1005,2484981ce3fe6c01db2d4e74856cf1eddd14817ce0b592ffd93dd8c879109afd
daily_source_coverage.csv,small_table,876,ed57aeaac63d1576ddd76790a9d11f3071937f77d6b87ba8c44a098d0be4cccc
delayed_entry_simulation.csv,small_table,1077,838b7eb4c284ed59c8090c17f9eca5901ffa5b2c3f2198aa14eda11c260a208d
entry_qualification_walk_forward.csv,small_table,1285,08a5fc6c61c73b187b0f318dc6b3ebc2e12a3257d50ac359ab62301d6c996df6
entry_upgrade_feature_panel.csv,small_table,148761,c37632083167b21876d32d8e352d3918877af065d4a24b08000cda62a6698983
failure_taxonomy_panel.csv,small_table,62484,9f2b4615db7aa646dad3a5587d46f2f01d7d368daa03fee8cdf4865eb2dd2108
failure_taxonomy_quality.csv,small_table,725,399579dadafbe39b6257ecccc2665c45383894d8eb6e62bea8973b4b65aefa94
gpt_review_notes.md,report,1499,5da52cff07139ee93bbcc0c6bb0847f24ce372eb3b65e4a1c734c459389b1893
intraday_source_coverage.csv,small_table,853,b0b2b13d08de6448ed6ac57b35dfdff72290d4e8460909e3724c0c9fa05eedcf
staged_entry_simulation.csv,small_table,921,1e0287a2b70e04540b8bb815bdce46fb73b97aaec143410b6e546d5937bff656
task_608j_decision.csv,decision,636,34472d1c2163e00e191cdf3551c8327d9dff742ba6c1f5c0cf903168e12510a3
task_608j_failure_taxonomy_entry_upgrade.md,report,4049,13aff1cbf555ed23e7f29c89c514ad88a1d1fd19f2fbb2a9e1716e2e68d4e4c2
