relative_path,artifact_class,size_bytes,sha256
task721_bucket_review_protocol.csv,small_table,1258,3696f333ab923b9c6f2c96d49f4fb2d867025993dddf6822bd165c6fadda3b0b
task721_decomposition_panel.csv,small_table,508823,947c23590ab3bb5c4168e61677d7330c6d2095946e9610ce5d3b07e8aefda05b
task721_eval_guardrail.csv,small_table,1220,ca4057e026262eac80b23273cbebbe5f07d2c12069c97ac255bcc991c8805479
task721_governance_audit.csv,small_table,608,3f95c4b02882514d538c2d65628d054cdb60895271d322bfaa37962a762c25ab
task721_human_review_packet_queue.csv,small_table,525563,477162cb8ac1959d589b9fca0974b92908e70de2bdd1cbfdaa328b7a9b904b80
task721_interaction_edge_matrix.csv,small_table,481934,705755170ef8d5609b20c271eb212d51673fceeead4f0ce6ba89ead12b6b3da4
task721_leakage_guardrail.csv,small_table,399,b231bb74caa8365506ec06422851359743f2e2d8ebf1ae5b8b8048fbd078d552
task721_manual_review_samples.csv,small_table,150207,19fd5b933397a77a6aeb78aa133c78293e0b55121303cadb16935e0a483870ef
task_721_decision.csv,decision,305,d8f3193214bb8a49020120ceae8584e407ac76b58d4bb0d7c49f2105c6c50d3f
task_721_pass_fail_matrix.csv,small_table,542,d6c46c26dfdb2378a68eb17b90173047e905506aff01e982c628c9556aa17e63
task_721_watch_bucket_decomposition_packets.md,report,2503,33270427e1c705d0e15d610f01bbafbcc861bc20637567b3fd3c5be15a5a0081
