candidate,mode,scope,probe_result,rows_or_items,robots_view,collection_view,next_action
ap_monthly_sitemap,sitemap,broad_news_history,ap-sitemap-201601.xml returned monthly URL set,3294,allowed_with_collector_user_agent,large historical headline and metadata candidate,policy gated low-rate sitemap plus page-meta smoke
axios_public_rss,rss,macro_policy_tech,feed.rss returned current items,52,allowed,live recent context candidate,run governed L0 RSS smoke
the_verge_rss,rss,technology_ai,feed returned current items,10,allowed,live tech and AI context candidate,run governed L0 RSS smoke
wired_business_rss,rss,technology_business,feed returned current items,20,allowed,live tech business context candidate,run governed L0 RSS smoke
siliconangle_rss,rss,cloud_ai,feed returned current items,30,allowed,live cloud AI enterprise tech context candidate,run governed L0 RSS smoke
securityweek_rss,rss,cyber_security,feed returned current items,10,allowed,live cyber context candidate,run governed L0 RSS smoke
darkreading_rss,rss,cyber_security,feed returned current items,50,robots_unavailable_in_probe,live cyber context candidate after robots retry,rerun with raw robots capture before promotion
therecord_rss,rss,cyber_security,feed returned current items,5,robots_unavailable_in_probe,live cyber context candidate after robots retry,rerun with raw robots capture before promotion
utilitydive_rss,rss,energy_utility,feed returned current items,10,allowed_with_crawl_delay_5s,live utility energy regulation candidate,run slow governed L0 RSS smoke
supplychaindive_rss,rss,supply_chain,feed returned current items,10,allowed_with_crawl_delay_5s,live logistics supply chain candidate,run slow governed L0 RSS smoke
biopharmadive_rss,rss,healthcare_biotech,feed returned current items,10,allowed_with_crawl_delay_5s,live biotech pharma policy candidate,run slow governed L0 RSS smoke
fiercebiotech_rss,rss,healthcare_biotech,feed returned current items,25,allowed,live biotech pharma candidate,run governed L0 RSS smoke
stat_rss,rss,healthcare_biotech,feed returned current items,20,allowed,live healthcare biotech context candidate,run governed L0 RSS smoke
breakingdefense_rss,rss,defense,feed returned current items,15,allowed,live defense geopolitics candidate,run governed L0 RSS smoke
defensenews_global_rss,rss,defense,Arc RSS returned current items,25,allowed,live defense geopolitics candidate,run governed L0 RSS smoke
spacenews_rss,rss,space,feed returned current items,24,allowed,live space satellite launch candidate,run governed L0 RSS smoke
freightwaves_rss,rss,transport_supply_chain,feed returned current items,47,allowed,live freight and logistics candidate,run governed L0 RSS smoke
loadstar_rss,rss,transport_supply_chain,feed returned current items,10,allowed,live shipping logistics candidate,run governed L0 RSS smoke
spacenews_wordpress,wordpress_rest_2016_backfill,space_satellite,January 2016 API probe returned rows,5_of_346,allowed,historical backfill candidate,run month-bounded L0 WordPress smoke
carbonbrief_wordpress,wordpress_rest_2016_backfill,energy_climate_policy,January 2016 API probe returned rows,5,allowed,historical backfill candidate,run relevance-gated L0 WordPress smoke
cleantechnica_wordpress,wordpress_rest_2016_backfill,ev_energy,backfill smoke showed date filter ignored and latest 2026 rows returned,0_promoted,allowed_but_not_date_safe,do not promote historical backfill,use only future live RSS or a separate archive route if proven
robotreport_wordpress,wordpress_rest_2016_backfill,robotics_automation,January 2016 API probe returned rows,5,allowed,historical backfill candidate,run relevance-gated L0 WordPress smoke
securityweek_wordpress,wordpress_rest_2016_backfill,cyber_security,January 2016 API probe returned rows but wp-json robots disallowed,5,blocked_by_robots,do not promote WP backfill,use RSS only unless policy changes
stat_wordpress,wordpress_rest_2016_backfill,healthcare_biotech,January 2016 API probe returned rows but wp-json robots disallowed,5,blocked_by_robots,do not promote WP backfill,use RSS only unless policy changes
politico_rss,rss,policy_macro,probe returned 403,0,blocked_or_forbidden,do not promote,keep out of collector
politico_sitemap,sitemap,policy_macro,probe returned 403,0,blocked_or_forbidden,do not promote,keep out of collector
