rank,source_family,gap_type,severity,evidence_basis,required_next_evidence,allowed_next_action,forbidden_action
1,authority_evidence_ledger,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
2,broker_truth_reconciliation,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
3,catalog_report_artifacts,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
4,daily_ohlcv,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
5,diagnostic_runtime_heartbeats,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
6,frontend_read_models,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
7,indicator_snapshots,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
8,macro_rates,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
9,market_bars_5m,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
10,market_ticks_intraday,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
11,runtime_strategy_decisions,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
12,sec_events,AUTHORITY_STATUS_BLOCKED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,Explicit authority acceptance criteria and proof chain for receipt/hash/lineage/freshness separation.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
13,authority_evidence_ledger,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
14,broker_truth_reconciliation,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
15,catalog_report_artifacts,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
16,daily_ohlcv,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
17,diagnostic_runtime_heartbeats,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
18,frontend_read_models,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
19,indicator_snapshots,STRICT_GATE_CLOSED,P0_BLOCKER,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,Independent strict-gate certification evidence; no inference from diagnostic rows.,Generate focused diagnostic evidence plan or validator only.,"No source acquisition, DB mutation, scheduler run, broker call, paper/live permission, or destructive cleanup."
