metric,value,status,notes
decision_status,PRIMARY_PASS,PRIMARY_PASS,Research produced mitigation and replacement architecture for free L0 news collection.
strategy_acceptance,NOT_ACCEPTED,PRIMARY_PASS,No strategy or deployment gate opened.
primary_architecture,MACHINE_READABLE_FIRST,PRIMARY_PASS,RSS Atom SEC API daily index sitemap JSON-LD and static HTML precede Chrome.
chrome_crawler_role,FALLBACK_AND_VERIFICATION,PRIMARY_PASS,Use Playwright only when machine-readable routes fail or require rendering validation.
selector_drift_mitigation,EXTRACTOR_CASCADE,PRIMARY_PASS,Prefer feed sitemap JSON-LD meta tags static HTML before DOM selector extraction.
terms_blocking_mitigation,SOURCE_GOVERNANCE_REGISTRY,PRIMARY_PASS,Track robots terms posture login paywall captcha rate policy and kill switch per source.
entity_mapping_mitigation,SEPARATE_STRICT_MAPPER,PRIMARY_PASS,Collection rows may remain unmapped; mapping requires CIK exchange tag metadata or exact alias evidence.
historical_backfill_mitigation,SEC_AND_PUBLIC_ARCHIVE_LAYER,PRIMARY_PASS,Use SEC daily index first and research Common Crawl or GDELT URL-level archive discovery for old public headlines.
reuters_bloomberg_direct_scrape,BLOCKED,PRIMARY_PASS,Do not directly automate/paywall scrape Reuters or Bloomberg; aggregator-visible headline references only.
next_build,source_capability_probe,PRIMARY_PASS,Probe PRNewswire GlobeNewswire BusinessWire SEC and one sitemap-enabled source for capture modes and historical depth.
