field,value
verdict,CANONICAL_DIAGNOSTIC_L3_REBUILD_CREATED
strategy_acceptance,NOT_ACCEPTED
deployment_readiness,DIAGNOSTIC_ONLY_NOT_DEPLOYMENT_READY
real_capital,FORBIDDEN
paper_trading,FORBIDDEN
broker_mutation,FORBIDDEN
buy_sell_signals,NOT_CREATED
rank_sizing_order_intent,NOT_CREATED
task742_historical_packet_artifact,UNRECOVERABLE_ARTIFACT
task742_golden_replay,UNAVAILABLE
task742_specific_calibrated_probability,FORBIDDEN_UNTIL_PACKET_OR_EQUIVALENT_GOLDEN_SET_EXISTS
canonical_l3_meanings,1365
canonical_l3_evidence_edges,1365
canonical_l3_relation_graphs,361
canonical_l3_calibration_rows,4073
canonical_l3_non_missing_calibration_rows,2686
canonical_l3_calibration_audit_buckets,20
canonical_l3_calibrated_audit_buckets,10
canonical_l3_direction_policy,NEUTRAL_CONTEXT_ONLY
inferred_matching,FORBIDDEN_AND_REJECTED
label_used_in_assignment,FORBIDDEN
outcome_used_in_assignment,FORBIDDEN
next_action,REVIEW_CANONICAL_L3_CONTEXT_GRAPHS_AND_DEFINE_TRUE_L2_ECONOMIC_PRIMITIVE_INPUTS
