relative_path,artifact_class,size_bytes,sha256
gpt_chrome_review_packet.md,report,2060,f886cf4a9deee599cd0d88a40fcd192c40ecb97645dd5058097e2a06ecc33386
task732_alive_review_states_report.csv,small_table,802,a0804fcaa1d0296772a8903beec499302cd9ed0d135d04d9c9d46a6dac452946
task732_circuit_contexts.csv,small_table,3319838,abd1d14f3c9c12daa8a921a5fb94f3b55a0c5265385259f792d78a7ee1f06924
task732_circuit_contexts.jsonl,other,5647069,80da4bba448f0e78a99075f17fdb6010e04c53c482c61f1e8e173629f971505c
task732_circuit_coverage_report.csv,small_table,966,3e123ed5eae777fd050da946920c9c4bfbcd71867804819c10733388e27e643d
task732_context_edges.csv,small_table,2193876,fd2efa207e7728832593f0ea2446fc4b0272a8fbd8a33c84bd8f78d7fb7928f1
task732_context_edges.jsonl,other,3810755,a34cef962275bf526de5268bceaa30053351f6e242789a7b46cf79819ce48b49
task732_forbidden_fact_guardrail.csv,small_table,516,617fc7e426d140140f79a1c79254a230968b579d79e741fc87c970bc253cc645
task732_gpt_review_summary.csv,small_table,738,121d2fc7fe44833a067da86056ee9aab6791e3604856f03649f4a2e889c1a3c8
task_732_decision.csv,decision,451,f716768d8f36cda621a0952a5e6022069a0c3c69180bb5c0cdbf004773a7b542
task_732_pass_fail_matrix.csv,small_table,386,9c2f9f411c998b12bee28fd185a40172a9b78aaab19b6ca8d4375f23380bfe1c
task_732_source_circuit_interpreters.md,report,4838,32d3c5034841bb1020c4ff3ccdf9b62da77ce4bb8e1b75072f20982d36ad504f
