loop_id,scope,phase,objective,entry_condition,exit_condition,forbidden_changes
1,C_SOURCE_AUTHORITY,C1_SOURCE_INVENTORY,"Inventory current source families, jobs, policies, receipts, lineage, and blockers.",Read-only DB and repo access.,source_inventory.csv exists with one row per registered source family.,No source acquisition run; no live fetch; no gate opening.
2,C_SOURCE_AUTHORITY,C2_FRESHNESS_CERTIFICATION,"Summarize freshness, strict/proxy gates, SLA, and blocker status.",source_freshness and source_freshness_policy readable.,freshness_certification_matrix.csv identifies pass/blocker state.,No manual freshness override.
3,C_SOURCE_AUTHORITY,C3_SEC_HYBRID_VALIDATION,Classify SEC provider chain evidence without running network acquisition.,sec_events/source_receipts readable.,sec_hybrid_provider_chain.csv separates bulk/live/rss/cache evidence.,No SEC live retry.
4,C_SOURCE_AUTHORITY,C4_AUTHORITY_LEDGER,"Summarize receipts, reference hashes, lineage edges, and authority evidence coverage.",source_receipts/reference_hashes/data_lineage_edges readable.,authority_ledger_summary.csv shows coverage and gaps.,No synthetic authority evidence.
5,D_RUNTIME_PAPER_GATES,D1_BROKER_TRUTH_AUDIT,Identify broker-truth proof gaps and current order mutation blockers.,runtime/order tables readable.,broker_truth_gap_matrix.csv states broker truth remains blocked unless evidence exists.,No broker API call.
6,D_RUNTIME_PAPER_GATES,D2_KILL_SWITCH_AUDIT,Record kill-switch/control state and clearance blockers.,control_state readable.,kill_switch_audit.csv preserves fail-closed state.,No kill-switch toggle.
7,D_RUNTIME_PAPER_GATES,D3_GATE_REGISTRY_AUDIT,Unify paper/local/broker blocker evidence.,runtime authority and order tables readable.,paper_gate_blocker_matrix.csv explains why paper remains blocked.,No paper intent or order row creation.
8,B_NATIVE_IOS_EVIDENCE,B1_NATIVE_BUILD_EVIDENCE,Record current iOS dev-build evidence contract state.,frontend QA contracts readable.,native_ios_evidence_plan.csv shows Mac/operator evidence still required.,No build execution.
9,B_NATIVE_IOS_EVIDENCE,B2_SIMULATOR_SCREENSHOT_EVIDENCE,Record simulator screenshot baseline requirements.,screenshot targets and iOS evidence contract readable.,native_ios_evidence_plan.csv includes simulator evidence blockers.,No screenshot capture claim.
10,F_REPO_GOVERNANCE,F1_REPO_CENSUS,Summarize repo census signals for active/archive/delete planning.,repo filesystem readable.,repo_census_summary.csv classifies counts without deleting files.,No delete/archive move.
