relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1081,ed8e4e0984d65cfd258cca2b13ec49cb46e46c9cc8349bab9abb9f18d968faa5
task669_mdd_state_audit.csv,small_table,1984,44ab0eb2bd000d1f506ef239483e036d4db3c90c9ea12e93fa0cffe441b41100
task669_playbook_catalyst_matrix.csv,small_table,3535,a3e4aef921f14c51d88ecc17b409e645dc2be1eb7adf80b66d4777f2605f6c9a
task669_redefinition_candidates.csv,small_table,1225,add425b1aa48b7e837467c5b28385aebe20fa7b390747edfb89618e41e06809e
task669_state_component_mix.csv,small_table,18367,54dffd3560542609be94396ede495f8c098c14e2b70f61ab9bcb8c21d1ab5a8a
task669_state_performance_audit.csv,small_table,808,c434cd3fd81827019915b76610b2a2046494d9f2ae3b8464f5d10c104e736938
task669_state_purity_audit.csv,small_table,810,03ea932f1b9eca6692b6c9f49e1bdf36c05530fd1e323bb1ab18c67e3ea89a31
task_669_decision.csv,decision,424,a773532125ac80ad0e01a4e0e79207d173437aec95bd700cca2d0f7f5d2878d0
task_669_gpt_review_packet.md,report,1482,3f837f89842fd2a9e8a02ef06deb02814c63433f914512bfdc5246a7160dab2b
task_669_gpt_review_response.md,report,1530,20f333afdf502e1e460ee520d96b1b8ce28ed2f8522c78b05ba296ba1bfaf666
task_669_pass_fail_matrix.csv,small_table,535,b400e37893cd11cf99d8f2fed8388db48b0b4f265de0d7e3097aca325c99c4d7
task_669_playbook_state_definition_audit.md,report,10947,ad350aee85efdd11a4dc4be8092be6b4406ef50fb79645fa4b282ae8d0391012
