path,classification,last_write_utc,decision
docs/acceptance,DOCS_SURFACE_REVIEW,2026-06-03T10:31:28+00:00,REVIEW
docs/active,DOCS_SURFACE_REVIEW,2026-06-27T13:40:57+00:00,REVIEW
docs/architecture,ARCHITECTURE,2026-06-29T06:36:13+00:00,KEEP
docs/archive,ARCHIVE,2026-06-27T15:35:09+00:00,KEEP
docs/audits,DOCS_SURFACE_REVIEW,2026-06-29T03:49:09+00:00,REVIEW
docs/candidate_funnel,DOCS_SURFACE_REVIEW,2026-06-29T03:49:09+00:00,REVIEW
docs/context,DOCS_SURFACE_REVIEW,2026-05-20T13:46:00+00:00,REVIEW
docs/contracts,DOCS_SURFACE_REVIEW,2026-06-24T12:39:04+00:00,REVIEW
docs/db,DOCS_SURFACE_REVIEW,2026-06-20T16:20:49+00:00,REVIEW
docs/execution,DOCS_SURFACE_REVIEW,2026-06-03T11:34:21+00:00,REVIEW
docs/frontend_app_ssot,FRONTEND_SSOT,2026-06-24T10:01:41+00:00,KEEP
docs/frontend_ios,DOCS_SURFACE_REVIEW,2026-06-29T03:49:09+00:00,REVIEW
docs/frontend_web,DOCS_SURFACE_REVIEW,2026-06-23T10:58:49+00:00,REVIEW
docs/generated_context,GENERATED_CONTEXT,2026-07-01T14:46:52+00:00,KEEP
docs/graphify,DISCOVERY_AID_REVIEW,2026-06-29T03:49:09+00:00,REVIEW
docs/harness,HARNESS_DOCS_REVIEW,2026-07-01T12:01:44+00:00,REVIEW
docs/llm_wiki,ROUTING_MEMORY,2026-06-22T14:23:19+00:00,KEEP
docs/logs,DOCS_SURFACE_REVIEW,2026-04-24T11:59:09+00:00,REVIEW
docs/obsidian,HUMAN_COCKPIT,2026-06-29T05:55:26+00:00,KEEP
docs/operating_system,OPERATING_DOCS,2026-06-29T05:55:26+00:00,KEEP
docs/ownership,OWNERSHIP,2026-06-29T05:55:26+00:00,KEEP
docs/reports,TASK_REPORTS,2026-07-01T14:53:04+00:00,KEEP
docs/specs,DOCS_SURFACE_REVIEW,2026-04-24T11:59:16+00:00,REVIEW
