relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1421,477f3b1fa29ccd2c8d7ad24a203c8679abe85e9a44c4c88d54f68ce67cf12bdd
task_640_decision.csv,decision,1239,e36291de2eb6eb8c211ef8a951435bd1e09df0cd85a92d25df27206fefe27146
task_640_drawdown_throttle_grid.csv,small_table,2399,851088b467e30932fd4e23c47af765f494bd8c76b9aa2c41259edea6e844188c
task_640_exclusion_filter_grid.csv,small_table,8809,912caced0d89c8072bafb01e52f1a814a7b42771199c8153231a55cce135728e
task_640_exclusion_throttle_combo_grid.csv,small_table,14577,0b4203df29a0b0ac3da855e584a29f78bc1b43d759534a66c02e7a161bc3c1eb
task_640_gpt_review_packet.txt,other,1606,a2ef4361fcc40d91d98c77c1ee5069fbd1f310c376dcdc8dd132454cb3d37e0a
task_640_gpt_review_response.md,report,2754,0a46f4ccceda528ba62a09261721208af70180e41bd1723428b99af0cf059b53
task_640_leverage_etf_drawdown_upgrade.md,report,12284,a535ba0a5ff113648762306cbddba0e03a3f2a2960820053f979d286685a4da2
task_640_leverage_etf_overlay_grid.csv,small_table,1778,bc167b9a71f2612192e8e9b14357c170c68fb63d2611ec3ba342370bab68c5be
task_640_pass_fail_matrix.csv,small_table,1249,108e4e6cfa5ec0e55c28fa54d3180a3ba487d3a0fe4061c91e6778a59069b503
task_640_source_audit.csv,small_table,428,7cabb5f6f5c42acadcdca8589f050f1f7fae6f7e0f3ea0f0b371349620a308a4
task_640_task639_baseline_recheck.csv,small_table,516,44cc58c237359cc2347b102f7b9b22af8730f999687aead3be3eb5a01fa4d5f8
