artifact_type,path,status,authority,evidence_scope,capture_source,viewport,route_id,sha256,notes
script,apps/ios-trader-brain/scripts/web-export-evidence.mjs,updated,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,local-export,,,,Windows-safe local web export evidence command.
script,apps/ios-trader-brain/scripts/web-preview-static-server.mjs,created,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,local-static-preview,,,,SPA fallback local preview server for screenshot capture.
contract,apps/ios-trader-brain/src/qa/mobile-viewport-evidence-contract.json,updated,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,chrome-local-web-preview,,,,Marks local browser capture complete without native or deployment evidence claims.
validator,apps/ios-trader-brain/src/qa/mobile-screenshot-evidence-validator.mjs,updated,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,chrome-local-web-preview,,,,Allows local browser capture complete while preserving hard-state boundaries.
runbook,docs/reports/task_3873_mobile_web_actual_capture/mobile_web_install_runbook.md,created,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,documented-only,,,,Documents browser add-to-home-screen convenience without native or deployment claims.
matrix,docs/reports/task_3873_mobile_web_actual_capture/mobile_web_capability_matrix.md,created,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,documented-only,,,,Classifies mobile web capabilities and explicit non-claims.
report,docs/reports/task_3873_mobile_web_actual_capture/scope_summary.md,created,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,closeout,,,,Summarizes completed loops and non-scope.
report,docs/reports/task_3873_mobile_web_actual_capture/evidence_inventory.md,created,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,closeout,,,,Inventories local web evidence and explicit non-evidence.
report,docs/reports/task_3873_mobile_web_actual_capture/validation_summary.md,created,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,closeout,,,,Records executed validation commands and interpretation boundary.
screenshot,data/artifacts/task_3873_mobile_web_actual_capture/screenshots/brain_390x844.png,generated_local,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,chrome-local-web-preview,390x844,brain,980546f71d31bfbdebb347ce206eba84929734159781df78dcca27fc2124686d,Local artifact ignored by Git.
screenshot,data/artifacts/task_3873_mobile_web_actual_capture/screenshots/brain_393x852.png,generated_local,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,chrome-local-web-preview,393x852,brain,ede114e579e3598a371e499dbcf16368da731c557fa78fc70f01747dd5786813,Local artifact ignored by Git.
screenshot,data/artifacts/task_3873_mobile_web_actual_capture/screenshots/brain_430x932.png,generated_local,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,chrome-local-web-preview,430x932,brain,b2905075e8784e045e8184c1a5236c2aaeaddc545dea095a0ecacfb83278f4cc,Local artifact ignored by Git.
screenshot,data/artifacts/task_3873_mobile_web_actual_capture/screenshots/candidate-detail_390x844.png,generated_local,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,chrome-local-web-preview,390x844,candidate-detail,98a3cb3864ef4f6b94104e6725c47fd2474eb9b7aa513df84eb21d7768081855,Local artifact ignored by Git.
screenshot,data/artifacts/task_3873_mobile_web_actual_capture/screenshots/candidate-detail_393x852.png,generated_local,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,chrome-local-web-preview,393x852,candidate-detail,7bf294703039f8c5e40708f01e9e353f0ddae0733ca4d7846a8ecb497261bf4f,Local artifact ignored by Git.
screenshot,data/artifacts/task_3873_mobile_web_actual_capture/screenshots/candidate-detail_430x932.png,generated_local,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,chrome-local-web-preview,430x932,candidate-detail,57359e044847ebaadb8b00fe1e22e2bf5e71228c848fdcbceaca6fa50e633476,Local artifact ignored by Git.
screenshot,data/artifacts/task_3873_mobile_web_actual_capture/screenshots/home_390x844.png,generated_local,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,chrome-local-web-preview,390x844,home,af441b301c09d5876b0d80bd6d2bea8192033ff3e44992514e3ab38753870328,Local artifact ignored by Git.
screenshot,data/artifacts/task_3873_mobile_web_actual_capture/screenshots/home_393x852.png,generated_local,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,chrome-local-web-preview,393x852,home,6b878d92ec837bdb7556ed0ba70ff84b8f7fe3b3ab5115b6084b49462d0299cc,Local artifact ignored by Git.
screenshot,data/artifacts/task_3873_mobile_web_actual_capture/screenshots/home_430x932.png,generated_local,NOT_AUTHORITY,WEB_PREVIEW_EVIDENCE_ONLY,chrome-local-web-preview,430x932,home,f2db98b4463538d930284665757214e76c0b506414173c762889e787f32afdee,Local artifact ignored by Git.
