path,type,purpose,created_or_modified,task_id
ops/task_registry.yaml,REGISTRY,register TASK-4112 scope and closeout,modified,TASK-4112
ops/doc_registry.yaml,REGISTRY,register TASK-4112 docs,modified,TASK-4112
ops/dashboard/index.html,DASHBOARD,refresh dashboard with TASK-4112 status,modified,TASK-4112
ops/dashboard/dashboard_summary.json,DASHBOARD,refresh dashboard summary with TASK-4112 status,modified,TASK-4112
scripts/ops/scan_historical_data_artifacts.py,VALIDATOR,scan and delete unreferenced historical task artifacts,created,TASK-4112
docs/reports/task_4112_historical_data_artifact_retention_cleanup/report.md,TASK_ARTIFACT,task report,created,TASK-4112
docs/reports/task_4112_historical_data_artifact_retention_cleanup/artifact_manifest.csv,TASK_ARTIFACT,artifact manifest,created,TASK-4112
docs/reports/task_4112_historical_data_artifact_retention_cleanup/validation_results.md,TASK_ARTIFACT,validation report,created,TASK-4112
docs/reports/task_4112_historical_data_artifact_retention_cleanup/historical_data_artifact_inventory.csv,AUDIT_ARTIFACT,pre-delete historical artifact classification inventory,created,TASK-4112
docs/reports/task_4112_historical_data_artifact_retention_cleanup/deleted_historical_data_artifacts.csv,AUDIT_ARTIFACT,deleted historical artifact manifest,created,TASK-4112
docs/reports/task_4112_historical_data_artifact_retention_cleanup/post_delete_historical_data_artifact_inventory.csv,AUDIT_ARTIFACT,post-delete historical artifact inventory,created,TASK-4112
data/artifacts/task_1001_1010_l5_replacement_hurdle_replay,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1011_1020_l1_l4_context_curriculum_audit,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1021_1030_l1_l4_institutional_upgrade,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1031_1040_l1_l4_golden_set,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1041_1080_golden_extractor_replay,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1081_1100_sec_asof_source_replay,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1101_1110_winner_concentration_audit,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1111_1120_pre_replay_audit_program,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1121_1130_pit_nonsec_repair,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1131_1140_evidence_fill,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1141_1150_external_source_acquisition,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1151_1160_official_universe_redefinition,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1161_1170_sec_bulk_public_filer_universe,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1171_1180_public_filer_proxy_backtest,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1181_1190_l0_l3_strengthening_plan,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1191_1200_l0_l3_candidate_compression,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1201_1210_l0_l3_controlled_replay,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1211_1220_collapse_guard_development,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1221_1227_collapse_guard_implementation,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1228_1237_volatility_terminal_discriminator,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1238_1247_raw_text_terminal_evidence,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1248_1257_raw_text_policy_replay,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
data/artifacts/task_1258_1267_multisource_l1_l3_judgment,OBSOLETE_HISTORICAL_TASK_ARTIFACT,task artifact not referenced by current operating documents,deleted,TASK-4112
