event_id,trade_id,symbol,entry_ts,exit_ts,day_key,current_split,sector_group,session_timing_bucket,execution_quality_bucket,same_day_candidate_count,same_day_sector_candidate_count,realized_R,allocator_timing,feature_availability_group,regime_score_at_decision_time,artifact_score_at_decision_time,top_regime_score_at_decision_time,eligible_at_decision_time,delayed_signal_penalty_flag,regime_score_percentile_at_decision_time,artifact_score_percentile_at_decision_time,timing_tier,artifact_tier,single_best_binary,top_regime_basket_binary,regime_conditioned_overlay_balanced,sizing_template_aggressive,artifact_half_plus
2,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.230647,opening_drive_allocator,opening_window_available,1.457353,0.390673,0.0,True,False,0.5596693026599568,0.6480948957584471,active,active,False,True,True,True,True
190,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.851322,opening_drive_allocator,opening_window_available,1.457353,0.390673,0.0,True,False,0.5596693026599568,0.6480948957584471,active,active,False,True,True,True,True
381,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,1.311775,opening_drive_allocator,opening_window_available,1.457353,0.390673,0.0,True,False,0.5596693026599568,0.6480948957584471,active,active,False,True,True,True,True
596,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.184517,opening_drive_allocator,opening_window_available,1.457353,0.390673,0.0,True,False,0.5596693026599568,0.6480948957584471,active,active,False,True,True,True,True
779,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,1.04942,opening_drive_allocator,opening_window_available,1.457353,0.390673,0.0,True,False,0.5596693026599568,0.6480948957584471,active,active,False,True,True,True,True
988,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.149686,opening_drive_allocator,opening_window_available,1.457353,0.390673,0.0,True,False,0.5596693026599568,0.6480948957584471,active,active,False,True,True,True,True
1157,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,1.04942,opening_drive_allocator,opening_window_available,1.457353,0.390673,0.0,True,False,0.5596693026599568,0.6480948957584471,active,active,False,True,True,True,True
1334,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.307529,opening_drive_allocator,opening_window_available,1.457353,0.390673,0.0,True,False,0.5596693026599568,0.6480948957584471,active,active,False,True,True,True,True
1532,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.230647,opening_drive_allocator,opening_window_available,1.457353,0.390673,0.0,True,False,0.5596693026599568,0.6480948957584471,active,active,False,True,True,True,True
1751,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.230647,opening_drive_allocator,opening_window_available,1.457353,0.390673,0.0,True,False,0.5596693026599568,0.6480948957584471,active,active,False,True,True,True,True
2,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.230647,post_confirmation_allocator,post_breakout_confirmation,1.457353,0.390673,0.0,True,False,0.5402588066139468,0.6258087706685838,active,active,False,True,True,True,True
190,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.851322,post_confirmation_allocator,post_breakout_confirmation,1.457353,0.390673,0.0,True,False,0.5402588066139468,0.6258087706685838,active,active,False,True,True,True,True
381,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,1.311775,post_confirmation_allocator,post_breakout_confirmation,1.457353,0.390673,0.0,True,False,0.5402588066139468,0.6258087706685838,active,active,False,True,True,True,True
596,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.184517,post_confirmation_allocator,post_breakout_confirmation,1.457353,0.390673,0.0,True,False,0.5402588066139468,0.6258087706685838,active,active,False,True,True,True,True
779,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,1.04942,post_confirmation_allocator,post_breakout_confirmation,1.457353,0.390673,0.0,True,False,0.5402588066139468,0.6258087706685838,active,active,False,True,True,True,True
988,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.149686,post_confirmation_allocator,post_breakout_confirmation,1.457353,0.390673,0.0,True,False,0.5402588066139468,0.6258087706685838,active,active,False,True,True,True,True
1157,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,1.04942,post_confirmation_allocator,post_breakout_confirmation,1.457353,0.390673,0.0,True,False,0.5402588066139468,0.6258087706685838,active,active,False,True,True,True,True
1334,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.307529,post_confirmation_allocator,post_breakout_confirmation,1.457353,0.390673,0.0,True,False,0.5402588066139468,0.6258087706685838,active,active,False,True,True,True,True
1532,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.230647,post_confirmation_allocator,post_breakout_confirmation,1.457353,0.390673,0.0,True,False,0.5402588066139468,0.6258087706685838,active,active,False,True,True,True,True
1751,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.230647,post_confirmation_allocator,post_breakout_confirmation,1.457353,0.390673,0.0,True,False,0.5402588066139468,0.6258087706685838,active,active,False,True,True,True,True
2,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.230647,pre_open_allocator,pre_open_available,1.457353,0.390673,0.0,True,False,0.7374260355029586,0.7374260355029586,active,active,False,True,True,True,True
190,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.851322,pre_open_allocator,pre_open_available,1.457353,0.390673,0.0,True,False,0.7374260355029586,0.7374260355029586,active,active,False,True,True,True,True
381,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,1.311775,pre_open_allocator,pre_open_available,1.457353,0.390673,0.0,True,False,0.7374260355029586,0.7374260355029586,active,active,False,True,True,True,True
596,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-19 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,0.184517,pre_open_allocator,pre_open_available,1.457353,0.390673,0.0,True,False,0.7374260355029586,0.7374260355029586,active,active,False,True,True,True,True
779,META|2021-06-07|2021-06-07|333.779999,META,2021-06-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,2021-06-07,train,software_internet,mid_session,strong,10,10,1.04942,pre_open_allocator,pre_open_available,1.457353,0.390673,0.0,True,False,0.7374260355029586,0.7374260355029586,active,active,False,True,True,True,True
