provider,feed,source_type,symbol,date,chunk_id,path,row_count,first_timestamp,last_timestamp,sha256,schema_columns,catalog_error,historical_live_ready_flag
alpaca,sip,quotes,AFRM,2024-01-02,1430_1440,data\raw\microstructure_full\provider=alpaca\feed=sip\type=quotes\symbol=AFRM\date=2024-01-02\chunk=1430_1440.parquet,29370,2024-01-02T14:30:00.042530597Z,2024-01-02T14:39:59.998629008Z,8ee6285b9e7e,symbol|quote_ts|bid|ask|bid_size|ask_size|exchange_bid|exchange_ask|quote_conditions|tape|mid|spread_bps|nbbo_size_dollar|nbbo_imbalance|source|recv_ts_utc|receive_ts_available_flag|provider|feed|source_type|partition_symbol|partition_date|partition_chunk_id|raw_interval_start|raw_interval_end|historical_live_ready_flag,,0
alpaca,sip,quotes,AFRM,2024-01-02,1440_1450,data\raw\microstructure_full\provider=alpaca\feed=sip\type=quotes\symbol=AFRM\date=2024-01-02\chunk=1440_1450.parquet,27355,2024-01-02T14:40:00.001819326Z,2024-01-02T14:49:59.984903434Z,9d7395f2fa8f,symbol|quote_ts|bid|ask|bid_size|ask_size|exchange_bid|exchange_ask|quote_conditions|tape|mid|spread_bps|nbbo_size_dollar|nbbo_imbalance|source|recv_ts_utc|receive_ts_available_flag|provider|feed|source_type|partition_symbol|partition_date|partition_chunk_id|raw_interval_start|raw_interval_end|historical_live_ready_flag,,0
alpaca,sip,quotes,AFRM,2024-01-02,1450_1500,data\raw\microstructure_full\provider=alpaca\feed=sip\type=quotes\symbol=AFRM\date=2024-01-02\chunk=1450_1500.parquet,22760,2024-01-02T14:50:00.000326227Z,2024-01-02T14:59:59.842700055Z,2a4f1c638577,symbol|quote_ts|bid|ask|bid_size|ask_size|exchange_bid|exchange_ask|quote_conditions|tape|mid|spread_bps|nbbo_size_dollar|nbbo_imbalance|source|recv_ts_utc|receive_ts_available_flag|provider|feed|source_type|partition_symbol|partition_date|partition_chunk_id|raw_interval_start|raw_interval_end|historical_live_ready_flag,,0
alpaca,sip,quotes,AFRM,2024-01-02,1500_1510,data\raw\microstructure_full\provider=alpaca\feed=sip\type=quotes\symbol=AFRM\date=2024-01-02\chunk=1500_1510.parquet,22806,2024-01-02T15:00:00.007591951Z,2024-01-02T15:09:59.989624515Z,f6e5553f2942,symbol|quote_ts|bid|ask|bid_size|ask_size|exchange_bid|exchange_ask|quote_conditions|tape|mid|spread_bps|nbbo_size_dollar|nbbo_imbalance|source|recv_ts_utc|receive_ts_available_flag|provider|feed|source_type|partition_symbol|partition_date|partition_chunk_id|raw_interval_start|raw_interval_end|historical_live_ready_flag,,0
alpaca,sip,quotes,AFRM,2024-01-02,1510_1520,data\raw\microstructure_full\provider=alpaca\feed=sip\type=quotes\symbol=AFRM\date=2024-01-02\chunk=1510_1520.parquet,21288,2024-01-02T15:10:00.002711775Z,2024-01-02T15:19:59.509553549Z,87ce1b099ceb,symbol|quote_ts|bid|ask|bid_size|ask_size|exchange_bid|exchange_ask|quote_conditions|tape|mid|spread_bps|nbbo_size_dollar|nbbo_imbalance|source|recv_ts_utc|receive_ts_available_flag|provider|feed|source_type|partition_symbol|partition_date|partition_chunk_id|raw_interval_start|raw_interval_end|historical_live_ready_flag,,0
alpaca,sip,quotes,AFRM,2024-01-02,1520_1530,data\raw\microstructure_full\provider=alpaca\feed=sip\type=quotes\symbol=AFRM\date=2024-01-02\chunk=1520_1530.parquet,18356,2024-01-02T15:20:00.006010481Z,2024-01-02T15:29:59.547685205Z,3c1408ee3961,symbol|quote_ts|bid|ask|bid_size|ask_size|exchange_bid|exchange_ask|quote_conditions|tape|mid|spread_bps|nbbo_size_dollar|nbbo_imbalance|source|recv_ts_utc|receive_ts_available_flag|provider|feed|source_type|partition_symbol|partition_date|partition_chunk_id|raw_interval_start|raw_interval_end|historical_live_ready_flag,,0
alpaca,sip,quotes,AFRM,2024-01-02,1530_1540,data\raw\microstructure_full\provider=alpaca\feed=sip\type=quotes\symbol=AFRM\date=2024-01-02\chunk=1530_1540.parquet,18049,2024-01-02T15:30:00.000245339Z,2024-01-02T15:39:59.996617255Z,5ce203d7cacd,symbol|quote_ts|bid|ask|bid_size|ask_size|exchange_bid|exchange_ask|quote_conditions|tape|mid|spread_bps|nbbo_size_dollar|nbbo_imbalance|source|recv_ts_utc|receive_ts_available_flag|provider|feed|source_type|partition_symbol|partition_date|partition_chunk_id|raw_interval_start|raw_interval_end|historical_live_ready_flag,,0
alpaca,sip,quotes,AFRM,2024-01-02,1540_1550,data\raw\microstructure_full\provider=alpaca\feed=sip\type=quotes\symbol=AFRM\date=2024-01-02\chunk=1540_1550.parquet,17686,2024-01-02T15:40:00.091636105Z,2024-01-02T15:49:59.567808237Z,af747bd618bf,symbol|quote_ts|bid|ask|bid_size|ask_size|exchange_bid|exchange_ask|quote_conditions|tape|mid|spread_bps|nbbo_size_dollar|nbbo_imbalance|source|recv_ts_utc|receive_ts_available_flag|provider|feed|source_type|partition_symbol|partition_date|partition_chunk_id|raw_interval_start|raw_interval_end|historical_live_ready_flag,,0
alpaca,sip,quotes,AFRM,2024-01-02,1550_1600,data\raw\microstructure_full\provider=alpaca\feed=sip\type=quotes\symbol=AFRM\date=2024-01-02\chunk=1550_1600.parquet,15070,2024-01-02T15:50:00.109135767Z,2024-01-02T15:59:59.998162021Z,326f398651f7,symbol|quote_ts|bid|ask|bid_size|ask_size|exchange_bid|exchange_ask|quote_conditions|tape|mid|spread_bps|nbbo_size_dollar|nbbo_imbalance|source|recv_ts_utc|receive_ts_available_flag|provider|feed|source_type|partition_symbol|partition_date|partition_chunk_id|raw_interval_start|raw_interval_end|historical_live_ready_flag,,0
alpaca,sip,quotes,AFRM,2024-01-02,1600_1610,data\raw\microstructure_full\provider=alpaca\feed=sip\type=quotes\symbol=AFRM\date=2024-01-02\chunk=1600_1610.parquet,12277,2024-01-02T16:00:00.010359280Z,2024-01-02T16:09:59.514857573Z,9f7b5aaeed59,symbol|quote_ts|bid|ask|bid_size|ask_size|exchange_bid|exchange_ask|quote_conditions|tape|mid|spread_bps|nbbo_size_dollar|nbbo_imbalance|source|recv_ts_utc|receive_ts_available_flag|provider|feed|source_type|partition_symbol|partition_date|partition_chunk_id|raw_interval_start|raw_interval_end|historical_live_ready_flag,,0
