path,top_dir,suffix,size_bytes,class,recommendation,delete_risk,reason
docs/obsidian/Codex Obsidian Workflow.md,docs,.md,6927,NAVIGATION_LAYER,ARCHIVE_REVIEW,MEDIUM,Human navigation layer excluded from default Codex scope.
docs/obsidian/README.md,docs,.md,3661,NAVIGATION_LAYER,ARCHIVE_REVIEW,MEDIUM,Human navigation layer excluded from default Codex scope.
docs/obsidian/Vault Home.md,docs,.md,2680,NAVIGATION_LAYER,ARCHIVE_REVIEW,MEDIUM,Human navigation layer excluded from default Codex scope.
docs/obsidian/boards/Research Cockpit.canvas,docs,.canvas,8228,NAVIGATION_LAYER,ARCHIVE_REVIEW,MEDIUM,Human navigation layer excluded from default Codex scope.
docs/obsidian/mocs/Operating System Map.md,docs,.md,1299,NAVIGATION_LAYER,ARCHIVE_REVIEW,MEDIUM,Human navigation layer excluded from default Codex scope.
docs/obsidian/mocs/Quant Research Map.md,docs,.md,1728,NAVIGATION_LAYER,ARCHIVE_REVIEW,MEDIUM,Human navigation layer excluded from default Codex scope.
docs/obsidian/templates/task-note-template.md,docs,.md,716,NAVIGATION_LAYER,ARCHIVE_REVIEW,MEDIUM,Human navigation layer excluded from default Codex scope.
docs/reports/A006_generated_cache_delete_pass/deletion_log.csv,docs,.csv,144299,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A006_generated_cache_delete_pass/directory_cleanup_log.csv,docs,.csv,4285,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A006_generated_cache_delete_pass/generated_cache_delete_report.md,docs,.md,5083,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A006_generated_cache_delete_pass/post_validation_cache_cleanup_log.csv,docs,.csv,1131,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/dvc_add_retry_log.csv,docs,.csv,5133,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/dvc_excluded_git_tracked.csv,docs,.csv,98,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/dvc_lfs_artifact_management_report.md,docs,.md,4233,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/dvc_targets.csv,docs,.csv,6889,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/dvc_tracking_status.csv,docs,.csv,6308,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/execution_summary.csv,docs,.csv,253,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/large_payload_move_log.csv,docs,.csv,3242,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/large_payload_tracking_plan.csv,docs,.csv,10430,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/post_cleanup_inventory/archive_review_candidates.csv,docs,.csv,457382,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/post_cleanup_inventory/classification_summary.csv,docs,.csv,681,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/post_cleanup_inventory/delete_safe_candidates.csv,docs,.csv,72,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/post_cleanup_inventory/file_inventory.csv,docs,.csv,2248757,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/post_cleanup_inventory/needs_review_candidates.csv,docs,.csv,27963,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/post_cleanup_inventory/protected_keep_files.csv,docs,.csv,1763556,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/post_cleanup_inventory/top_dir_summary.csv,docs,.csv,709,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A007_dvc_lfs_artifact_management/reference_update_log.csv,docs,.csv,2122,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A008_path_by_path_owner_review/cleanup_execution_log.csv,docs,.csv,390170,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A008_path_by_path_owner_review/owner_review_decision_matrix.csv,docs,.csv,483322,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A008_path_by_path_owner_review/path_by_path_owner_review_report.md,docs,.md,3658,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/A010_artifact_guardrails/artifact_guardrails_report.md,docs,.md,1112,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/architecture_normalization_report.md,docs,.md,4596,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/backtest_strategy_status_2026-05-02.md,docs,.md,4010,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
docs/reports/daily_feedback_2026-05-21/daily_feedback_2026-05-21.md,docs,.md,10076,HISTORICAL_REPORT,KEEP_OR_ARCHIVE_REVIEW,MEDIUM,Historical report evidence; exclude from default read scope.
