relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1443,be68dad7ef2ab839d197e986a9f8d3e7da04e73ff3336a7f0cb37be267980298
gpt_chrome_review_packet.md,report,2151,9e43ef44cc882d887e32a203e5a6304f70e982eff3c4f48c8824299bf4a20181
task735_agreement_family_distribution.csv,small_table,788,d0a358490c5b101b80fa821891f6770fac5e2ed2062564db1837c73e8bd55247
task735_generic_8k_classification.csv,small_table,135612,d4155b0d1de7980c8f5446ad3d94b9e14ff98af8022db3647e6e07363f0c79f0
task735_generic_8k_classification.jsonl,other,194908,0b8b67f1031bc12d6943575c10faf7bdd681c7a02575f9d1d84d736d06585f76
task735_gpt_review_summary.csv,small_table,751,bb04f9c7ddd52aa8adbf211c2ed0c6636127e4c509c31e360bbd34d94ba5b264
task735_guardrail.csv,small_table,669,7b3adf71b973c833e6738a5f7545416e1aaed24d3f1bdc4b77e5998bca31d380
task735_task734_prior_candidate_reclassification.csv,small_table,4950,06e2b0a75951dd71efaec62ac7e854ece3f360828e9f51153f7f6466d51d4032
task735_task734_prior_candidate_reclassification.jsonl,other,9142,6d96544d70d7ba02735ba22940fc7888f70abc0ffc6cacf8ddd8b16c5f6488a1
task_735_decision.csv,decision,535,e87bf4134d92872b717b64fcfb62ea39f657017594ae11a4d5cbb7c7922486fb
task_735_generic_8k_classifier_repair.md,report,10306,40987e02cab33a105f5c2bfe9f446f7fa2a93ba7b3f6b9688cbedd941c1cfdf1
task_735_pass_fail_matrix.csv,small_table,297,1b1f669af81925e5ad4051e118b83db2e18db94a4e4cee98e890dd351503aeb3
