relative_path,artifact_class,size_bytes,sha256
gpt_chrome_review_packet.md,report,2212,a5ffa15ef0d6285c671d09e3bb9b62650fb161801b8ea433a175a469c944646c
task738_coverage_report.csv,small_table,245,91a43dab64f80160c293b854dff850cedee8023ca85a3f4ebe8f82df99d70b1e
task738_denominator_requirement_matrix.csv,small_table,3054,3d09eac191028fc127e6911c6302f6aeab18834e953e6e7a1e3cbb3e18c12389
task738_enrichment_requirements.csv,small_table,3400480,63f82684623e04483ebcc864c923e7abadc7c4d10a6ccd83ae3106e4c1dbd6b4
task738_enrichment_requirements.jsonl,other,6587734,3367fb4484977bd0b554581251c64864241ed6899df26eb4ba133900e8c66384
task738_gpt_review_summary.csv,small_table,652,878db80518d579b139f23566cc63a15d653475f1eecaf7c088357f072e0b4efa
task738_guardrail.csv,small_table,497,f06b09c1079aa68b552f90fc357c42fc0de1ad4786826f94514882c77f9c7f42
task738_interaction_requirement_edges.csv,small_table,2730439,c67316304490a5ac0803a128f04bd025d6a50134b543528064de87ac162dd73f
task738_interaction_requirement_edges.jsonl,other,5447651,12f6cce9f1da4a0488af6e9f6cc3d45790b7980d85cefc2aa7dfd50c70b9b7bb
task738_missing_primitive_matrix.csv,small_table,7246,6b2d02f0aea019b881296e7a2b0f954faae96aa512d0b5b89e0244a22eee3891
task738_requirement_family_distribution.csv,small_table,1446,bbda1c4ef9d8c52e4b37d7943ef05be0367154f6a8ca9fdaddc431635f901048
task738_resolver_targets.csv,small_table,1529,2ed8ab20bc035fa20650a8622fca1f42c27decd00c75eb4bbdfc3de08b9818ba
task738_resolver_targets.jsonl,other,3557,c366cd9f575507f53978935f4d848b781cb33c204b131634567bdb10f132632a
task738_review_lane_assignment.csv,small_table,631,588056e4180ab44a63a2e3aadcc24eb036c94d9964feeb2dd584ba04e40b4331
task_738_decision.csv,decision,550,912a59452f82a26591937746eb65c32f9c80a71e7498d5c85b39b5a3618b78da
task_738_pass_fail_matrix.csv,small_table,397,de90774bef9e0818bcbb336c90e4b499c28aee33d621580496cab2cbb1ec8fd8
task_738_semantic_enrichment_requirements.md,report,8416,e44589d28dbc120a62f6578ce824679af96982743c43de277d3a3ebda1918ffe
