artifact_type,path,row_count_or_count,file_size_bytes,validation_command,notes
code,tools/db/source_acquisition/public_headline_browser_crawler.js,1 script,,node --check tools/db/source_acquisition/public_headline_browser_crawler.js,Chrome/Playwright public headline capture tool.
code,scripts/run_l0_public_headline_browser_smoke.ps1,1 wrapper,,powershell -NoProfile -ExecutionPolicy Bypass -File scripts/run_l0_public_headline_browser_smoke.ps1,Windows smoke wrapper using bundled Node Playwright paths.
code,tools/db/news_l0_l1.py,provider spec updated,,python -m py_compile tools/db/news_l0_l1.py,Added public_headline_browser_watch discovery-only provider.
code,src/l2/news_runtime.py,browser raw parser updated,,python -m py_compile src/l2/news_runtime.py,Parses browser headline JSON payloads into diagnostic L2 news rows.
code,src/l2/builders/news_event_primitives.py,payload columns updated,,python -m py_compile src/l2/builders/news_event_primitives.py,Preserves detected_at source_page_url headline_hash selector_version in L2 payload.
config,configs/db_source_acquisition_scheduler.json,disabled source family/job,,python -m unittest tests.test_l0_source_acquisition_hardening,Registered disabled diagnostic source family and smoke job.
raw,data/raw/l0_public_headline_browser_smoke,12 files,4262277,powershell -NoProfile -ExecutionPolicy Bypass -File scripts/run_l0_public_headline_browser_smoke.ps1 -Sources 'prnewswire,globenewswire' -MaxHeadlines 25 -EventPath 'data/artifacts/l0_public_headline_browser_smoke/collector_events_v2.jsonl' -SummaryPath 'data/artifacts/l0_public_headline_browser_smoke/smoke_summary_v2.json',Raw HTML screenshot and headline JSON evidence from smoke run.
events,data/artifacts/l0_public_headline_browser_smoke/collector_events_v2.jsonl,2 events,2280,python scripts/ingest_l0_news_to_l2.py --event-path data/artifacts/l0_public_headline_browser_smoke/collector_events_v2.jsonl --limit-per-path 10 --capture-ts 2026-06-28T06:00:00Z,Append-only smoke event ledger for PRNewswire and GlobeNewswire.
summary,data/artifacts/l0_public_headline_browser_smoke/smoke_summary_v2.json,26 headline rows,1169,powershell -NoProfile -ExecutionPolicy Bypass -File scripts/run_l0_public_headline_browser_smoke.ps1 -Sources 'prnewswire,globenewswire' -MaxHeadlines 25 -EventPath 'data/artifacts/l0_public_headline_browser_smoke/collector_events_v2.jsonl' -SummaryPath 'data/artifacts/l0_public_headline_browser_smoke/smoke_summary_v2.json',Smoke summary: PRNewswire 16 GlobeNewswire 10.
decision,data/artifacts/task_l0_public_headline_browser_crawler/comparison_decision.json,2 option comparison,,python scripts/operating_closeout_validate.py,Machine-readable comparison between existing source lanes and browser crawler lane.
l2,trading.db::l2_primitive_facts,26 public_headline_browser_watch facts,,python scripts/validate_l2_news_canonical_path.py --db-path trading.db,Diagnostic-only L2 smoke facts; trade score order outputs all 0.
test,tests/test_l0_source_acquisition_hardening.py,provider coverage,,python -m unittest tests.test_l0_source_acquisition_hardening,Asserts browser provider is discovery-only and trade authority 0.
test,tests/test_l2_news_canonical_path.py,L2 parser coverage,,python -m unittest tests.test_l2_news_canonical_path,Asserts browser rows preserve evidence and block without entity mapping.
validation,.github/CODEOWNERS,coverage ok,,python scripts/codeowners_coverage_validate.py,Ownership coverage validator passed.
validation,docs/ownership/readiness_registry.yaml,readiness ok,,python validate_readiness_registry.py,Readiness registry validator passed.
validation,trading.db,governance warning,,python scripts/governance_completion_audit.py,Governance audit completed with existing protected DB not DVC-tracked warnings.
