type,path,description,status
code,tools/db/source_acquisition/public_context_news_collector.py,Public macro context RSS API static page and sitemap article metadata collector,validated
code,scripts/run_l0_public_context_news_collector.py,CLI runner for context news smoke and background modes,validated
code,scripts/start_l0_public_context_news_collector.ps1,Background starter for public_context_news_feeds collector,validated
code,scripts/start_l0_public_context_news_backfill.ps1,Background starter for Federal Register and Federal Reserve context backfill,validated
config,configs/source_registry/l0_public_context_news_sources.json,Registry for 9 public macro policy market structure and crypto context sources,validated
config,configs/source_registry/l0_official_public_releases.json,Updated BLS principal feed URL to current BLS latest releases RSS,validated
config,configs/db_source_acquisition_scheduler.json,Added public_context_news_feeds source family and disabled scheduler entry,validated
code,tools/db/news_l0_l1.py,Added provider spec and context row ticker mapping exemption,validated
code,src/l2/news_runtime.py,Added default event path and parser for public_context_news_feeds,validated
code,src/l2/builders/news_event_primitives.py,Preserves context source and topic payload fields in L2 facts,validated
code,tools/db/source_acquisition/l0_collection_status.py,Adds context news progress to consolidated L0 status,validated
test,tests/test_l0_public_context_news_collector.py,Collector unit tests for RSS API and mocked smoke event,validated
test,tests/test_l2_news_canonical_path.py,Context news L2 canonical path regression test,validated
test,tests/test_l0_collection_status.py,Context news status regression test,validated
test,tests/test_l3_source_reliability.py,Provider authority classification regression test,validated
smoke,data/artifacts/l0_public_context_news_smoke_v3/collector_events.jsonl,Real-network smoke v3 events with 65 rows and 0 L1 blocks,validated
smoke_raw,data/raw/l0_public_context_news_smoke_v3,Real-network smoke v3 raw responses,validated
backfill_smoke,data/artifacts/l0_public_context_news_backfill_smoke/collector_events.jsonl,Real-network 2016-01 historical backfill smoke with 32 rows and 0 L1 blocks,validated
backfill_smoke_raw,data/raw/l0_public_context_news_backfill_smoke,Real-network 2016-01 historical backfill raw responses,validated
cftc_backfill_smoke,data/artifacts/l0_public_context_news_cftc_backfill_smoke_v2/collector_events.jsonl,Real-network 2016 CFTC historical backfill smoke with 37 rows and 0 L1 blocks,validated
cftc_backfill_smoke_raw,data/raw/l0_public_context_news_cftc_backfill_smoke_v2,Real-network 2016 CFTC historical backfill raw responses,validated
capability,data/artifacts/l0_public_context_news_capability_probe_v2/capability_summary.json,Capability probe v2 summary for 9 context sources,validated
l2_smoke,data/artifacts/l0_public_context_news_l2_smoke_v3/news_l2_smoke.db,L2 smoke DB with 65 public_context_news_feeds facts,validated
backfill_l2_smoke,data/artifacts/l0_public_context_news_backfill_l2_smoke/news_l2_smoke.db,L2 smoke DB with 32 historical backfill context news facts,validated
cftc_backfill_l2_smoke,data/artifacts/l0_public_context_news_cftc_backfill_l2_smoke/news_l2_smoke.db,L2 smoke DB with 37 CFTC historical backfill context news facts,validated
background,data/artifacts/l0_public_context_news/collector_events.jsonl,Background event ledger with 133 rows at status snapshot,validated
background_raw,data/raw/l0_public_context_news,Background raw context source captures,validated
background_status,data/artifacts/l0_public_context_news/background_process.json,Background process status with PID 23836,validated
backfill_background,data/artifacts/l0_public_context_news_backfill/collector_events.jsonl,Background historical backfill event ledger with 5972 rows at status snapshot,validated
backfill_background_raw,data/raw/l0_public_context_news_backfill,Background historical backfill raw context source captures,validated
backfill_background_status,data/artifacts/l0_public_context_news_backfill/background_process.json,Background backfill process status with PID 22444,validated
status,data/artifacts/l0_collection_status/current_status.md,Consolidated L0 status including context news lane,validated
report,docs/reports/task_l0_public_context_news_collector/task_l0_public_context_news_collector_report.md,Human-readable task report,validated
code,tools/db/source_acquisition/public_context_news_collector.py,Added official expansion defaults and World Bank public news API parser/backfill cursor mode,validated
config,configs/source_registry/l0_public_context_news_sources.json,Expanded context registry with ECB BoE EIA Defense World Bank and disabled BIS policy-review candidates,validated
code,scripts/start_l0_public_context_news_collector.ps1,Expanded context live watcher defaults excluding BIS robots-blocked candidates,validated
code,scripts/start_l0_public_context_news_backfill.ps1,Added World Bank public news API to context historical backfill defaults,validated
smoke,data/artifacts/l0_public_context_news_official_expansion_smoke_v2/collector_events.jsonl,Real-network official expansion smoke v2 with 36 rows and 0 L1 blocks,validated
smoke_raw,data/raw/l0_public_context_news_official_expansion_smoke_v2,Real-network official expansion smoke v2 raw responses,validated
backfill_smoke,data/artifacts/l0_public_context_news_worldbank_backfill_smoke_v1/collector_events.jsonl,Real-network World Bank API backfill smoke with 11 rows and cursor offset 20,validated
backfill_smoke_raw,data/raw/l0_public_context_news_worldbank_backfill_smoke_v1,Real-network World Bank API backfill smoke raw responses,validated
l2_smoke,data/artifacts/l0_public_context_news_official_expansion_l2_smoke_v1/news_l2_smoke.db,L2 smoke DB with 47 official expansion and World Bank context news facts,validated
reference,https://www.bis.org/robots.txt,BIS robots evidence disallowing /doclist/ RSS collection,reviewed
