source_family,provider,freshness_status,strict_gate_allowed,proxy_allowed,max_source_ts,max_capture_ts,max_available_to_brain_ts,freshness_sla_minutes,certification_status,blocker_reason
authority_evidence_ledger,local_runtime_authority_validator,CURRENT_OR_RECENT,0,0,2026-06-22T23:49:14.994024Z,2026-06-22T23:49:14.994024Z,2026-06-22T23:49:14.994024Z,10,BLOCKED,authority evidence generated in blocked diagnostic mode; no paper/live gates opened
broker_truth_reconciliation,diagnostic_broker_truth_reconciliation,CURRENT_OR_RECENT,0,0,2026-06-22T23:49:14.854469Z,2026-06-22T23:49:14.855142Z,2026-06-22T23:49:14.855142Z,1440,BLOCKED,current broker-truth blocker row; no broker API call and no broker truth completion claim
catalog_report_artifacts,local_readonly_artifact_builder,STALE,0,0,2026-06-22T15:03:43.108999Z,2026-06-22T23:49:14.873512Z,2026-06-22T23:49:14.873512Z,60,BLOCKED,derived read-only artifact lineage only; not source truth
daily_ohlcv,trading_db_cached_daily_ohlcv,CURRENT_OR_RECENT,0,0,2026-06-22T21:00:00Z,2026-06-22T23:48:27.213106Z,2026-06-22T23:49:14.886018Z,2160,BLOCKED,cached daily_ohlcv provider acquisition evidence; gates remain closed until certification
diagnostic_runtime_heartbeats,local_diagnostic_runtime,CURRENT_OR_RECENT,0,0,2026-06-22T23:49:14.896294Z,2026-06-22T23:49:14.896294Z,2026-06-22T23:49:14.896294Z,30,BLOCKED,updated by diagnostic-only registered loop heartbeat
frontend_read_models,local_readonly_artifact_builder,STALE,0,0,2026-06-22T15:03:43.108999Z,2026-06-22T23:49:14.911293Z,2026-06-22T23:49:14.911293Z,5,BLOCKED,derived read-only artifact lineage only; not source truth
indicator_snapshots,derived_indicator_snapshots_from_market_bars,STALE,0,0,2026-06-22T19:59:59Z,2026-06-22T23:49:14.978643Z,2026-06-22T23:49:14.978643Z,20,BLOCKED,diagnostic indicator rows derived from market_bars_5m; entry_allowed and selected_for_portfolio forced to 0
macro_rates,trading_db_cached_macro_rates,STALE,0,0,2026-06-19T21:00:00Z,2026-06-22T23:48:33.019347Z,2026-06-22T23:49:15.301931Z,1440,BLOCKED,cached macro_rates provider acquisition evidence; no-vintage rows remain diagnostic
market_bars_5m,trading_db_cached_market_bars_5m,STALE,0,0,2026-06-22T19:59:59Z,2026-06-22T23:49:09.219037Z,2026-06-22T23:49:15.550790Z,20,BLOCKED,cached market_bars_5m table snapshot; live fetch disabled; stale remains blocker
market_ticks_intraday,trading_db_cached_market_ticks,STALE,0,0,2026-06-22T19:55:00Z,2026-06-22T23:49:10.815496Z,2026-06-22T23:49:15.588076Z,10,BLOCKED,cached market_ticks evidence only; live fetch disabled; stale remains blocker
runtime_strategy_decisions,derived_runtime_strategy_decisions_from_indicators,CURRENT_OR_RECENT,0,0,2026-06-22T23:49:15.600533Z,2026-06-22T23:49:15.601434Z,2026-06-22T23:49:15.601434Z,20,BLOCKED,diagnostic runtime decisions from indicator snapshots; quantity=0 side=NONE status=BLOCKED
sec_events,sec_bulk_baseline,STALE,0,0,2026-05-29T22:30:27Z,2026-06-23T05:26:47.440230Z,2026-06-23T05:26:47.440230Z,1440,BLOCKED,provider acquisition evidence attached; gates remain closed until source-time certification
