path,class,size_bytes,owner,reviewer,decision,action,target_path,delete_allowed,result,reason
.github/CODEOWNERS,UNKNOWN_NEEDS_REVIEW,1016,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,.github/CODEOWNERS,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
.github/ISSUE_TEMPLATE/data_integrity_bug.yml,UNKNOWN_NEEDS_REVIEW,815,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,.github/ISSUE_TEMPLATE/data_integrity_bug.yml,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
.github/ISSUE_TEMPLATE/data_source_task.yml,UNKNOWN_NEEDS_REVIEW,947,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,.github/ISSUE_TEMPLATE/data_source_task.yml,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
.github/ISSUE_TEMPLATE/refactor_infra_task.yml,UNKNOWN_NEEDS_REVIEW,686,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,.github/ISSUE_TEMPLATE/refactor_infra_task.yml,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
.github/ISSUE_TEMPLATE/research_task.yml,UNKNOWN_NEEDS_REVIEW,1177,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,.github/ISSUE_TEMPLATE/research_task.yml,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
.github/pull_request_template.md,UNKNOWN_NEEDS_REVIEW,834,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,.github/pull_request_template.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
.gitignore,UNKNOWN_NEEDS_REVIEW,432,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,.gitignore,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
.graphifyignore,UNKNOWN_NEEDS_REVIEW,430,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,.graphifyignore,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
.obsidian/app.json,LOCAL_TOOL_STATE,149,Research Governance,Governance Reviewer,KEEP,KEEP,.obsidian/app.json,FALSE,NO_PHYSICAL_CHANGE,Local tool state preserved and excluded from normal project source management.
.obsidian/appearance.json,LOCAL_TOOL_STATE,2,Research Governance,Governance Reviewer,KEEP,KEEP,.obsidian/appearance.json,FALSE,NO_PHYSICAL_CHANGE,Local tool state preserved and excluded from normal project source management.
.obsidian/core-plugins.json,LOCAL_TOOL_STATE,704,Research Governance,Governance Reviewer,KEEP,KEEP,.obsidian/core-plugins.json,FALSE,NO_PHYSICAL_CHANGE,Local tool state preserved and excluded from normal project source management.
.obsidian/graph.json,LOCAL_TOOL_STATE,662,Research Governance,Governance Reviewer,KEEP,KEEP,.obsidian/graph.json,FALSE,NO_PHYSICAL_CHANGE,Local tool state preserved and excluded from normal project source management.
.obsidian/templates.json,LOCAL_TOOL_STATE,42,Research Governance,Governance Reviewer,KEEP,KEEP,.obsidian/templates.json,FALSE,NO_PHYSICAL_CHANGE,Local tool state preserved and excluded from normal project source management.
.obsidian/workspace.json,LOCAL_TOOL_STATE,5752,Research Governance,Governance Reviewer,KEEP,KEEP,.obsidian/workspace.json,FALSE,NO_PHYSICAL_CHANGE,Local tool state preserved and excluded from normal project source management.
AGENTS.md,UNKNOWN_NEEDS_REVIEW,4400,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,AGENTS.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
README.md,UNKNOWN_NEEDS_REVIEW,6247,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,README.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
context/README.md,UNKNOWN_NEEDS_REVIEW,3927,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,context/README.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
context/architecture/README.md,UNKNOWN_NEEDS_REVIEW,1080,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,context/architecture/README.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
context/architecture/contracts.md,UNKNOWN_NEEDS_REVIEW,14914,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,context/architecture/contracts.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
context/architecture/domain-model.md,UNKNOWN_NEEDS_REVIEW,7743,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,context/architecture/domain-model.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
context/codebase/README.md,UNKNOWN_NEEDS_REVIEW,4840,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,context/codebase/README.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
context/product/README.md,UNKNOWN_NEEDS_REVIEW,899,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,context/product/README.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
context/workflow/README.md,UNKNOWN_NEEDS_REVIEW,1069,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,context/workflow/README.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
context/workflow/execution-rules.md,UNKNOWN_NEEDS_REVIEW,3538,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,context/workflow/execution-rules.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
context/workflow/state-management.md,UNKNOWN_NEEDS_REVIEW,2392,Research Governance,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,context/workflow/state-management.md,FALSE,NO_PHYSICAL_CHANGE,Project source/governance file reclassified from unknown review.
data/README.md,DERIVED_OR_RUNTIME_DATA,1248,Data and Market Microstructure,Governance Reviewer,KEEP_PROJECT_SOURCE,KEEP_PROJECT_SOURCE,data/README.md,FALSE,NO_PHYSICAL_CHANGE,Data package source/documentation reclassified from derived/runtime.
data/artifacts/task_394_regime_aware_canonical_continuation_policy/policy_lifecycle_simulation_panel.csv,DERIVED_OR_RUNTIME_DATA,38895358,Data and Market Microstructure,Governance Reviewer,DVC_TRACK,DVC_TRACK,data/artifacts/task_394_regime_aware_canonical_continuation_policy/policy_lifecycle_simulation_panel.csv,FALSE,NO_PHYSICAL_CHANGE,Derived/runtime artifact retained as DVC-managed project data.
data/artifacts/task_395_forward_live_regime_detectability/forward_live_timestamp_regime_panel.csv,DERIVED_OR_RUNTIME_DATA,19558110,Data and Market Microstructure,Governance Reviewer,DVC_TRACK,DVC_TRACK,data/artifacts/task_395_forward_live_regime_detectability/forward_live_timestamp_regime_panel.csv,FALSE,NO_PHYSICAL_CHANGE,Derived/runtime artifact retained as DVC-managed project data.
data/artifacts/task_399_intraday_universe_history_expansion/canonical_rerun/intraday_canonical_event_log.csv,DERIVED_OR_RUNTIME_DATA,25178744,Data and Market Microstructure,Governance Reviewer,DVC_TRACK,DVC_TRACK,data/artifacts/task_399_intraday_universe_history_expansion/canonical_rerun/intraday_canonical_event_log.csv,FALSE,NO_PHYSICAL_CHANGE,Derived/runtime artifact retained as DVC-managed project data.
data/artifacts/task_399_intraday_universe_history_expansion/canonical_rerun/intraday_canonical_lifecycle_summary.csv,DERIVED_OR_RUNTIME_DATA,13505494,Data and Market Microstructure,Governance Reviewer,DVC_TRACK,DVC_TRACK,data/artifacts/task_399_intraday_universe_history_expansion/canonical_rerun/intraday_canonical_lifecycle_summary.csv,FALSE,NO_PHYSICAL_CHANGE,Derived/runtime artifact retained as DVC-managed project data.
data/artifacts/task_399_intraday_universe_history_expansion/task_391_expanded/split_lifecycle_panel.csv,DERIVED_OR_RUNTIME_DATA,23609717,Data and Market Microstructure,Governance Reviewer,DVC_TRACK,DVC_TRACK,data/artifacts/task_399_intraday_universe_history_expansion/task_391_expanded/split_lifecycle_panel.csv,FALSE,NO_PHYSICAL_CHANGE,Derived/runtime artifact retained as DVC-managed project data.
