relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1425,6fc3904311deabbcfb57c0286a956adf0e0861f256f10465caff1afc42099ec5
task678_accepted_trades.csv,small_table,1419093,899c7bcd7d30fe3703145279aa1a45b32b102f2c26091ee2071e1975c98a6d36
task678_allocation_panel.csv,small_table,3309695,6c9a95e9c1d26b406fdc18401be6e9c1a4bf968c139ef83e18f12dfe13002089
task678_catalyst_path_study.csv,small_table,1927,f8d4a5b552f7dbeed372b0bc0684be7eda244ca645a87e8657811011ac5a50aa
task678_max10_delta.csv,small_table,338,8ec2af9356407c53a0e83762b0369b0c76f4675f34ffab6ae191d599eb670a67
task678_max_position_comparison.csv,small_table,2153,892658bb09fa9e51be46dfdc1b921568e8174f0c358ec9521cb5852ff97b7c2b
task678_same_symbol_divergence.csv,small_table,3141,8fc3392185fbefd0e54451b1f7c1ae24235cab828aec580783636f847cf4ac36
task678_slot_competition_study.csv,small_table,79033,7b5b1759fc1033b5a60518000f901758beb3ef12665c65b44cbdd2f070d1531b
task678_winner_archetype_study.csv,small_table,1012,c19cf0deb163a57164501aa8a671e1e9f1c8e485a53505eee9ef35b5b40d0da6
task678_winner_preservation_audit.csv,small_table,906,cbddf11d08f6c0aa7ce978f1c6a0fedbaba929a040d24ab153360739316fc97f
task_678_active_cap3_winner_archetype.md,report,13240,8f2b6859d3a6a87262e4b09657434110e80f086f8cea32ed5354e9b688b855e5
task_678_decision.csv,decision,731,ab2787c42fffee9d2bf2e62b19e3f82a0d33a79dc35d85c94826e49b4ef63b54
task_678_gpt_review.md,report,1779,e5740f0afff7cc6a92f55e90d4a667cb8de6b9bb6f5d1849e137553f5281e9cb
task_678_pass_fail_matrix.csv,small_table,699,559039e69d9cc9544d74221294f28b361565e9379177798323801595392648a5
