relative_path,artifact_class,size_bytes,sha256
gpt_chrome_review_packet.md,report,2257,c4fa6c286748ef1fd688540a8fbee78144ce083087eae0a3928f10e07f358064
task741_blocker_summary.csv,small_table,636,6142a1dc760bc4fd43e0deb4cb7b6653f9f509f7597483a878db08a21ae29a00
task741_coverage_report.csv,small_table,276,1244324c3f42f942f8b9f927847475d73e1c397cc6e91852057621153f1d49f6
task741_economic_meaning_packets.csv,small_table,8247025,e1599c4a161a5bcec1f58fa8f41f2edbbb7419c8db70a5f106483d9e57a1c2cf
task741_economic_meaning_packets.jsonl,other,10302041,074783470e2fc9509d7cc598317cde24ed5f544ef2eddc0a8c166e4a714bd0b6
task741_gpt_review_summary.csv,small_table,655,21ab71306cd927205532b45e052d18816459c6bbbd4ba6cd696c2ab05407f6a0
task741_guardrail.csv,small_table,368,d4d657411715f02118f19118e8f3b0ee99ba99d3a6a6d9af8ec87c03297ef48e
task741_meaning_distribution.csv,small_table,800,15d86ecdf845c98cf6e5c820468f587be7e2c451086161bd40299cf899d895f9
task741_missing_source_blockers.csv,small_table,2524708,fdb93a2d7b08cc445fe94c3e25fba9c71d44a07f68b55b613fae31acf2051ff3
task741_missing_source_blockers.jsonl,other,4375218,6a48ab98715fb184876964ecab1d71f6399dad4b5735d083fe7e2042d325322f
task741_quality_metrics.csv,small_table,511,929fc527875a0538583f48b9e8f9946735bfcefc4de1b55159234b8baeef9be1
task741_source_availability_summary.csv,small_table,674,82cac1e6c5c811548a3148f49dade71ea18a9891636b2f305e0fa89d96ed9d9b
task_741_decision.csv,decision,586,e3c0652c83402e47aea04f3a478df2fb87343ef6e19e34b83644370b6f9e2dfd
task_741_economic_denominator_meaning_layer.md,report,6608,9e0ffcf4b812c6db107bcee1b47190acd90c7d40274ea0f9fed6b5596af6d9e5
task_741_pass_fail_matrix.csv,small_table,382,e68c9bc49c5ccd56d37bd5658829b7f6ff408ba021ca8a2b183bb993adf83e85
