lifecycle_id,symbol,theme_id,entry_ts,split_name,source_event_available_flag,evidence_brain_state,economic_transmission_state,market_pricing_brain_state,portfolio_brain_state,review_decision_state,invalidation_condition,risk_budget_state,sizing_cap_reason,final_brain_state,final_brain_reason_codes,translator_output_is_action_flag,outcome_used_for_assignment_flag,future_price_used_for_assignment_flag,missing_source_used_as_negative_flag,macro_used_for_assignment_flag,real_capital_status,no_action_reason
TASK617|AMGN|20240102T143000Z,AMGN,biotech_glp1_healthcare,2024-01-02 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,cluster_capped_review_budget,same_timestamp_theme_cluster,research_only_source_gap__cluster_capped_review_budget,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=cluster_capped_review_budget|cap=same_timestamp_theme_cluster,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|F|20240102T143000Z,F,ev_autonomy_mobility,2024-01-02 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|ISRG|20240102T143000Z,ISRG,biotech_glp1_healthcare,2024-01-02 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,cluster_capped_review_budget,same_timestamp_theme_cluster,research_only_source_gap__cluster_capped_review_budget,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=cluster_capped_review_budget|cap=same_timestamp_theme_cluster,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|MRNA|20240102T143000Z,MRNA,biotech_glp1_healthcare,2024-01-02 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,cluster_capped_review_budget,same_timestamp_theme_cluster,research_only_source_gap__cluster_capped_review_budget,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=cluster_capped_review_budget|cap=same_timestamp_theme_cluster,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|REGN|20240102T143000Z,REGN,biotech_glp1_healthcare,2024-01-02 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,cluster_capped_review_budget,same_timestamp_theme_cluster,research_only_source_gap__cluster_capped_review_budget,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=cluster_capped_review_budget|cap=same_timestamp_theme_cluster,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|ROK|20240102T143000Z,ROK,industrial_automation_robotics,2024-01-02 14:30:00+00:00,train_design,1,source_present_but_noise_dominated,capital_need_overhang_vs_growth_question,market_waiting_on_overhang_absorption,no_slot_claim_review_only,watch_for_confirmation,invalid_if_overhang_not_absorbed_by_followup_price_action,no_budget_research_only,financing_or_overhang_confirmation_needed,watch_for_confirmation__no_budget_research_only,review=watch_for_confirmation|invalidation=invalid_if_overhang_not_absorbed_by_followup_price_action|budget=no_budget_research_only|cap=financing_or_overhang_confirmation_needed,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|VRTX|20240102T143000Z,VRTX,biotech_glp1_healthcare,2024-01-02 14:30:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,cluster_capped_review_budget,same_timestamp_theme_cluster,research_only_source_gap__cluster_capped_review_budget,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=cluster_capped_review_budget|cap=same_timestamp_theme_cluster,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|EMR|20240102T144500Z,EMR,industrial_automation_robotics,2024-01-02 14:45:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|GM|20240102T144500Z,GM,ev_autonomy_mobility,2024-01-02 14:45:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
TASK617|HON|20240102T144500Z,HON,industrial_automation_robotics,2024-01-02 14:45:00+00:00,train_design,0,source_gap_unknown_not_negative,no_economic_claim_source_gap,source_gap_no_market_pricing_claim,no_slot_claim_review_only,research_only_source_gap,invalidation_not_applicable_source_gap,no_budget_research_only,source_gap_no_size_claim,research_only_source_gap__no_budget_research_only,review=research_only_source_gap|invalidation=invalidation_not_applicable_source_gap|budget=no_budget_research_only|cap=source_gap_no_size_claim,0,0,0,0,0,FORBIDDEN,review_layer_only;not_buy_sell_or_position_instruction;real_capital_forbidden
