path,current_purpose,overlaps_with,keep_as,active_pointer,action
README.md,Repository orientation and older operation notes,docs/INDEX.md; docs/active/README_ACTIVE.md,NAVIGATION_ONLY,docs/active/README_ACTIVE.md,Keep; do not use as current status authority when active/current operating model conflicts.
AGENTS.md,Codex working rules for this repository,docs/operating_system/goal_operating_cycle.md,CANONICAL_SOURCE,docs/active/CODEX_READ_SCOPE.md,Keep; active docs should follow it.
docs/INDEX.md,Broad documentation index,README.md; docs/obsidian/Vault Home.md; docs/active/PROJECT_TABLE_OF_CONTENTS.md,NAVIGATION_ONLY,docs/active/PROJECT_TABLE_OF_CONTENTS.md,Keep as broad index; active TOC becomes default Codex startup.
docs/llm_wiki/README.md,Missing historical LLM wiki entry,docs/active/README_ACTIVE.md,SUPERSEDED,docs/active/README_ACTIVE.md,Do not recreate in A001.
docs/llm_wiki/task_artifact_index.md,Missing historical artifact index,tasks/task_registry.csv; per-report artifact manifests; docs/active/ACTIVE_SSOT_INDEX.md,SUPERSEDED,docs/active/ACTIVE_SSOT_INDEX.md,Do not recreate in A001.
docs/operating_system/project_management_system.md,Missing older project management layer,docs/operating_system/goal_operating_cycle.md; docs/active/README_ACTIVE.md,SUPERSEDED,docs/active/README_ACTIVE.md,Do not recreate; use active layer and existing goal operating cycle.
docs/operating_system/project_operating_state.md,Missing older operating-state path,docs/ownership/current_operating_model.md; docs/active/PROJECT_STATUS.md,SUPERSEDED,docs/active/PROJECT_STATUS.md,Do not recreate; current operating model is canonical.
docs/ownership/current_operating_model.md,Current governance and status truth,docs/INDEX.md; docs/active/PROJECT_STATUS.md,CANONICAL_SOURCE,docs/active/PROJECT_STATUS.md,Keep canonical; active status is a condensed pointer.
docs/ownership/readiness_registry.yaml,Machine-readable readiness and blocker status,PROJECT_STATUS; current operating model,CANONICAL_SOURCE,docs/active/PROJECT_STATUS.md,Keep canonical.
tasks/task_registry.csv,Historical/canonical task registry,tasks/active_task_registry.csv,CANONICAL_SOURCE,tasks/active_task_registry.csv,Keep; active registry is lightweight queue only.
tasks/active_task_registry.csv,Lightweight active task queue,tasks/task_registry.csv,ACTIVE_ENTRY,docs/active/CURRENT_TASKS.md,Create and maintain for current work only.
docs/obsidian/Vault Home.md,Human Obsidian start page,docs/INDEX.md; docs/active/README_ACTIVE.md,NAVIGATION_ONLY,docs/active/README_ACTIVE.md,Keep as human navigation; exclude from default Codex read scope.
docs/frontend_app_ssot/*,Missing frontend SSOT folder,docs/frontend_data_contract.md; frontend reports,SUPERSEDED,docs/active/PROJECT_TABLE_OF_CONTENTS.md,Do not create duplicate SSOT in A001; use active pointers.
docs/frontend_data_contract.md,Frontend data contract,frontend reports; catalog JSON,CANONICAL_SOURCE,docs/active/PROJECT_TABLE_OF_CONTENTS.md,Keep as frontend read-model pointer.
graphify-out/GRAPH_REPORT.md,Stale 2026-04-25 graph discovery output,current operating model; docs/INDEX.md,ARCHIVE,docs/active/ACTIVE_SSOT_INDEX.md,Keep as historical discovery only; do not use for current state.

