source_family,provider,freshness_status,strict_gate_allowed,proxy_allowed,blocker_class,severity,sla_minutes,max_source_ts,blocker_reason,allowed_next_action,forbidden_action
authority_evidence_ledger,local_runtime_authority_validator,CURRENT_OR_RECENT,0,0,STRICT_AND_PROXY_GATE_CLOSED,P0_BLOCKER,10,2026-06-22T23:49:14.994024Z,authority evidence generated in blocked diagnostic mode; no paper/live gates opened,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
broker_truth_reconciliation,diagnostic_broker_truth_reconciliation,CURRENT_OR_RECENT,0,0,STRICT_AND_PROXY_GATE_CLOSED,P0_BLOCKER,1440,2026-06-22T23:49:14.854469Z,current broker-truth blocker row; no broker API call and no broker truth completion claim,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
catalog_report_artifacts,local_readonly_artifact_builder,STALE,0,0,STALE_SOURCE_BLOCKER,P0_BLOCKER,60,2026-06-22T15:03:43.108999Z,derived read-only artifact lineage only; not source truth,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
daily_ohlcv,trading_db_cached_daily_ohlcv,CURRENT_OR_RECENT,0,0,STRICT_AND_PROXY_GATE_CLOSED,P0_BLOCKER,2160,2026-06-22T21:00:00Z,cached daily_ohlcv provider acquisition evidence; gates remain closed until certification,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
diagnostic_runtime_heartbeats,local_diagnostic_runtime,CURRENT_OR_RECENT,0,0,STRICT_AND_PROXY_GATE_CLOSED,P0_BLOCKER,30,2026-06-22T23:49:14.896294Z,updated by diagnostic-only registered loop heartbeat,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
frontend_read_models,local_readonly_artifact_builder,STALE,0,0,STALE_SOURCE_BLOCKER,P0_BLOCKER,5,2026-06-22T15:03:43.108999Z,derived read-only artifact lineage only; not source truth,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
indicator_snapshots,derived_indicator_snapshots_from_market_bars,STALE,0,0,STALE_SOURCE_BLOCKER,P0_BLOCKER,20,2026-06-22T19:59:59Z,diagnostic indicator rows derived from market_bars_5m; entry_allowed and selected_for_portfolio forced to 0,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
macro_rates,trading_db_cached_macro_rates,STALE,0,0,STALE_SOURCE_BLOCKER,P0_BLOCKER,1440,2026-06-19T21:00:00Z,cached macro_rates provider acquisition evidence; no-vintage rows remain diagnostic,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
market_bars_5m,trading_db_cached_market_bars_5m,STALE,0,0,STALE_SOURCE_BLOCKER,P0_BLOCKER,20,2026-06-22T19:59:59Z,cached market_bars_5m table snapshot; live fetch disabled; stale remains blocker,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
market_ticks_intraday,trading_db_cached_market_ticks,STALE,0,0,STALE_SOURCE_BLOCKER,P0_BLOCKER,10,2026-06-22T19:55:00Z,cached market_ticks evidence only; live fetch disabled; stale remains blocker,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
runtime_strategy_decisions,derived_runtime_strategy_decisions_from_indicators,CURRENT_OR_RECENT,0,0,STRICT_AND_PROXY_GATE_CLOSED,P0_BLOCKER,20,2026-06-22T23:49:15.600533Z,diagnostic runtime decisions from indicator snapshots; quantity=0 side=NONE status=BLOCKED,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
sec_events,sec_bulk_baseline,STALE,0,0,STALE_SOURCE_BLOCKER,P0_BLOCKER,1440,2026-05-29T22:30:27Z,provider acquisition evidence attached; gates remain closed until source-time certification,Produce evidence requirements or validators only; do not run acquisition or open gates.,"No source acquisition, scheduler run, DB mutation, broker call, paper/live permission, or authority claim."
