source_family,receipt_id,blocker_code,source_ts,capture_ts,available_to_brain_ts,source_time_basis
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:55:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:59:59Z,2026-06-23T19:56:57.351648Z,2026-06-23T19:56:57.351648Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:50:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:54:59Z,2026-06-23T19:53:04.091675Z,2026-06-23T19:53:04.091675Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:45:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:49:59Z,2026-06-23T19:46:53.061594Z,2026-06-23T19:46:53.061594Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:40:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:44:59Z,2026-06-23T19:41:58.828547Z,2026-06-23T19:41:58.828547Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:35:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:39:59Z,2026-06-23T19:36:59.450728Z,2026-06-23T19:36:59.450728Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:30:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:34:59Z,2026-06-23T19:32:15.574851Z,2026-06-23T19:32:15.574851Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:25:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:29:59Z,2026-06-23T19:27:21.205910Z,2026-06-23T19:27:21.205910Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:20:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:24:59Z,2026-06-23T19:22:43.877094Z,2026-06-23T19:22:43.877094Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:15:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:19:59Z,2026-06-23T19:16:43.811251Z,2026-06-23T19:16:43.811251Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:10:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:14:59Z,2026-06-23T19:12:04.282187Z,2026-06-23T19:12:04.282187Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:05:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:09:59Z,2026-06-23T19:07:04.804264Z,2026-06-23T19:07:04.804264Z,cached_table_bar_end_ts
market_bars_5m,receipt:market_bars_5m:2026-06-23T19:00:00Z,SOURCE_TS_AFTER_CAPTURE_TS,2026-06-23T19:04:59Z,2026-06-23T19:03:21.541729Z,2026-06-23T19:03:21.541729Z,cached_table_bar_end_ts
