artifact_type,path_or_url,description,status
report,docs/reports/task_l0_crawlable_news_source_discovery/task_l0_crawlable_news_source_discovery_report.md,Discovery report for non-newswire crawlable sources,created
decision,docs/reports/task_l0_crawlable_news_source_discovery/task_l0_crawlable_news_source_discovery_decision.csv,Machine-readable discovery decision metrics,created
reference,https://developer.wordpress.org/rest-api/reference/posts/,WordPress REST posts API documentation,reviewed
reference,https://apnews.com/sitemap.xml,AP News sitemap index candidate,probed
reference,https://www.coindesk.com/arc/outboundfeeds/rss/,CoinDesk RSS candidate,probed
reference,https://cointelegraph.com/rss,Cointelegraph RSS candidate,probed
reference,https://decrypt.co/feed,Decrypt RSS candidate,probed
reference,https://cryptoslate.com/feed,CryptoSlate RSS candidate,probed
reference,https://oilprice.com/rss/main,OilPrice RSS candidate,probed
reference,https://www.eia.gov/rss/todayinenergy.xml,EIA Today in Energy RSS candidate,probed
reference,https://www.mining.com/commodity/copper/feed/,Mining.com copper RSS candidate,probed
reference,https://www.bleepingcomputer.com/feed/,BleepingComputer RSS candidate,probed
reference,https://krebsonsecurity.com/feed/,KrebsOnSecurity RSS candidate,probed
reference,https://semiengineering.com/feed/,Semiconductor Engineering RSS candidate,probed
reference,https://semiengineering.com/wp-json/wp/v2/posts,Semiconductor Engineering WordPress REST historical candidate,probed
reference,https://9to5mac.com/wp-json/wp/v2/posts,9to5Mac WordPress REST historical candidate,probed
reference,https://9to5google.com/wp-json/wp/v2/posts,9to5Google WordPress REST historical candidate,probed
reference,https://bitcoinmagazine.com/wp-json/wp/v2/posts,Bitcoin Magazine WordPress REST historical candidate,probed
reference,https://pv-magazine-usa.com/wp-json/wp/v2/posts,PV Magazine USA WordPress REST historical candidate,probed
reference,https://cleantechnica.com/wp-json/wp/v2/posts,CleanTechnica WordPress REST candidate with long crawl delay,probed
reference,https://search.worldbank.org/api/v2/news?format=json&rows=10&os=0,World Bank public news JSON API candidate,probed
reference,https://www.ecb.europa.eu/home/html/rss.en.html,ECB RSS index with press and statistical press feeds,reviewed
reference,https://www.ecb.europa.eu/rss/press.html,ECB press RSS candidate,probed
reference,https://www.ecb.europa.eu/rss/statpress.html,ECB statistical press RSS candidate,probed
reference,https://www.bankofengland.co.uk/rss,Bank of England RSS index,reviewed
reference,https://www.bankofengland.co.uk/rss/news,Bank of England news RSS candidate,probed
reference,https://www.bankofengland.co.uk/rss/speeches,Bank of England speeches RSS candidate,probed
reference,https://www.bis.org/rss/index.htm,BIS RSS index,reviewed
reference,https://www.bis.org/doclist/all_pressrels.rss,BIS press releases RSS candidate,probed
reference,https://www.bis.org/doclist/cbspeeches.rss?paging_length=15,BIS central bank speeches RSS candidate,probed
reference,https://www.eia.gov/tools/rssfeeds/,EIA RSS feed index,reviewed
reference,https://www.eia.gov/rss/press_rss.xml,EIA press RSS candidate,probed
reference,https://www.govinfo.gov/feeds,GovInfo official feeds index,reviewed
reference,https://www.govinfo.gov/rss/fr.xml,GovInfo Federal Register RSS candidate,probed
reference,https://www.war.gov/News/RSS/,Defense public RSS index,reviewed
reference,https://www.war.gov/DesktopModules/ArticleCS/RSS.ashx?max=10&ContentType=1&Site=945,Defense public press RSS candidate,probed
