report_dir,archive_state,recommended_action,file_count,size_bytes,manifest_path
task_406_deterministic_decision_rebuild,archive_candidate,manifest_then_move_large_panels_to_data_artifacts,8,1303544027,docs/reports/task_406_deterministic_decision_rebuild/artifact_manifest.csv
task_401_forward_live_canonical_multifactor_decision_layer,archive_candidate,manifest_then_move_large_panels_to_data_artifacts,14,1214096795,docs/reports/task_401_forward_live_canonical_multifactor_decision_layer/artifact_manifest.csv
task_407_raw_native_vectorized_rebuild,archive_candidate,manifest_then_move_large_panels_to_data_artifacts,10,355051532,docs/reports/task_407_raw_native_vectorized_rebuild/artifact_manifest.csv
task_487_regime_phase_target_validation,archive_candidate,manifest_then_move_large_panels_to_data_artifacts,12,107722929,docs/reports/task_487_regime_phase_target_validation/artifact_manifest.csv
task_480_symbol_structure_continuation_diagnostics,archive_candidate,manifest_then_move_large_panels_to_data_artifacts,15,96575439,docs/reports/task_480_symbol_structure_continuation_diagnostics/artifact_manifest.csv
task_396_forward_live_cost_constrained_validation,archive_candidate,manifest_then_move_large_panels_to_data_artifacts,10,36399394,docs/reports/task_396_forward_live_cost_constrained_validation/artifact_manifest.csv
task_492_microstructure_source_collection,canonical_or_active,keep_in_place,7,32975792,docs/reports/task_492_microstructure_source_collection/artifact_manifest.csv
task_399_intraday_universe_history_expansion,archive_candidate,manifest_then_move_large_panels_to_data_artifacts,60,19179766,docs/reports/task_399_intraday_universe_history_expansion/artifact_manifest.csv
task_404_task401_exact_label_generation,archive_candidate,manifest_then_move_large_panels_to_data_artifacts,6,18413902,docs/reports/task_404_task401_exact_label_generation/artifact_manifest.csv
task_333_behavior_clustered_state_model,historical_keep,keep_until_full_registry_backfill,12,9241879,docs/reports/task_333_behavior_clustered_state_model/artifact_manifest.csv
task_482_continuous_market_theme_regime_engine,historical_keep,keep_until_full_registry_backfill,23,8336791,docs/reports/task_482_continuous_market_theme_regime_engine/artifact_manifest.csv
task_400_forward_live_entry_quality_filter_discovery,historical_keep,keep_until_full_registry_backfill,9,7916011,docs/reports/task_400_forward_live_entry_quality_filter_discovery/artifact_manifest.csv
task_488_regime_only_target_recovery,historical_keep,keep_until_full_registry_backfill,8,7525400,docs/reports/task_488_regime_only_target_recovery/artifact_manifest.csv
task_395_forward_live_regime_detectability,historical_keep,keep_until_full_registry_backfill,9,7505755,docs/reports/task_395_forward_live_regime_detectability/artifact_manifest.csv
task_327_path_conditioned_entry,historical_keep,keep_until_full_registry_backfill,14,6112821,docs/reports/task_327_path_conditioned_entry/artifact_manifest.csv
task_392_macro_vol_theme_regime_overlay,historical_keep,keep_until_full_registry_backfill,13,5838447,docs/reports/task_392_macro_vol_theme_regime_overlay/artifact_manifest.csv
task_393_regime_gated_canonical_continuation_validation,historical_keep,keep_until_full_registry_backfill,8,5487296,docs/reports/task_393_regime_gated_canonical_continuation_validation/artifact_manifest.csv
task_388_theme_10x7_intraday_canonical_continuation_long_history,historical_keep,keep_until_full_registry_backfill,6,5178850,docs/reports/task_388_theme_10x7_intraday_canonical_continuation_long_history/artifact_manifest.csv
task_483_firm_grade_market_theme_regime_upgrade,historical_keep,keep_until_full_registry_backfill,25,4963446,docs/reports/task_483_firm_grade_market_theme_regime_upgrade/artifact_manifest.csv
task_484_continuation_payoff_regime_engine,historical_keep,keep_until_full_registry_backfill,13,4832168,docs/reports/task_484_continuation_payoff_regime_engine/artifact_manifest.csv
task_493_microstructure_enhanced_continuation_grid,canonical_or_active,keep_in_place,12,4757298,docs/reports/task_493_microstructure_enhanced_continuation_grid/artifact_manifest.csv
task_324_exit_size_rule_integration,historical_keep,keep_until_full_registry_backfill,10,4380652,docs/reports/task_324_exit_size_rule_integration/artifact_manifest.csv
task_491_intraday_continuation_grid_development,canonical_or_active,keep_in_place,10,4166877,docs/reports/task_491_intraday_continuation_grid_development/artifact_manifest.csv
task_322_structural_breakout,historical_keep,keep_until_full_registry_backfill,7,3459579,docs/reports/task_322_structural_breakout/artifact_manifest.csv
task_490r_firm_grade_intraday_continuation_validation,canonical_or_active,keep_in_place,10,3227179,docs/reports/task_490r_firm_grade_intraday_continuation_validation/artifact_manifest.csv
task_391_intraday_canonical_oos_validation,historical_keep,keep_until_full_registry_backfill,8,2992229,docs/reports/task_391_intraday_canonical_oos_validation/artifact_manifest.csv
task_385_canonical_continuation_engine,historical_keep,keep_until_full_registry_backfill,27,2277459,docs/reports/task_385_canonical_continuation_engine/artifact_manifest.csv
task_398_portfolio_path_equity_curve_simulation,historical_keep,keep_until_full_registry_backfill,7,2233929,docs/reports/task_398_portfolio_path_equity_curve_simulation/artifact_manifest.csv
task_325_regime_entry_rebuild,historical_keep,keep_until_full_registry_backfill,14,2211580,docs/reports/task_325_regime_entry_rebuild/artifact_manifest.csv
task_397_forward_live_strict_false_positive_decomposition,historical_keep,keep_until_full_registry_backfill,8,2181833,docs/reports/task_397_forward_live_strict_false_positive_decomposition/artifact_manifest.csv
task_511,historical_keep,keep_until_full_registry_backfill,2,2098438,docs/reports/task_511/artifact_manifest.csv
task_354_regime_sleeve_deployment,historical_keep,keep_until_full_registry_backfill,8,2068572,docs/reports/task_354_regime_sleeve_deployment/artifact_manifest.csv
task_489_broad_regime_cell_portfolio,canonical_or_active,keep_in_place,11,2019319,docs/reports/task_489_broad_regime_cell_portfolio/artifact_manifest.csv
task_326_regime_conditioned_entry_map,historical_keep,keep_until_full_registry_backfill,10,1406142,docs/reports/task_326_regime_conditioned_entry_map/artifact_manifest.csv
task_335_information_layer_expansion,historical_keep,keep_until_full_registry_backfill,9,1344831,docs/reports/task_335_information_layer_expansion/artifact_manifest.csv
task_334_behavior_state_monetization,historical_keep,keep_until_full_registry_backfill,11,1205085,docs/reports/task_334_behavior_state_monetization/artifact_manifest.csv
task_384_engine_integrated_canonical,historical_keep,keep_until_full_registry_backfill,23,1170995,docs/reports/task_384_engine_integrated_canonical/artifact_manifest.csv
task_510,historical_keep,keep_until_full_registry_backfill,2,958398,docs/reports/task_510/artifact_manifest.csv
task_100,historical_keep,keep_until_full_registry_backfill,10,908732,docs/reports/task_100/artifact_manifest.csv
task_372_historical_source_backfill,historical_keep,keep_until_full_registry_backfill,9,816387,docs/reports/task_372_historical_source_backfill/artifact_manifest.csv
task_345_intraday_coverage_alignment,historical_keep,keep_until_full_registry_backfill,7,812633,docs/reports/task_345_intraday_coverage_alignment/artifact_manifest.csv
task_489_broad_market_data_collection,historical_keep,keep_until_full_registry_backfill,3,795449,docs/reports/task_489_broad_market_data_collection/artifact_manifest.csv
task_093,historical_keep,keep_until_full_registry_backfill,2,794645,docs/reports/task_093/artifact_manifest.csv
task_384_actual_canonical_backtest,historical_keep,keep_until_full_registry_backfill,24,750404,docs/reports/task_384_actual_canonical_backtest/artifact_manifest.csv
task_338_intraday_evaluation_fix,historical_keep,keep_until_full_registry_backfill,8,747293,docs/reports/task_338_intraday_evaluation_fix/artifact_manifest.csv
task_374_forward_pure_breakout,historical_keep,keep_until_full_registry_backfill,11,592743,docs/reports/task_374_forward_pure_breakout/artifact_manifest.csv
task_500,historical_keep,keep_until_full_registry_backfill,2,587971,docs/reports/task_500/artifact_manifest.csv
task_375_forward_persistence,historical_keep,keep_until_full_registry_backfill,7,567684,docs/reports/task_375_forward_persistence/artifact_manifest.csv
task_381_timestamp_price_namespace_repair,historical_keep,keep_until_full_registry_backfill,8,491011,docs/reports/task_381_timestamp_price_namespace_repair/artifact_manifest.csv
task_376_persistence_universe_rebuild,historical_keep,keep_until_full_registry_backfill,8,479104,docs/reports/task_376_persistence_universe_rebuild/artifact_manifest.csv
task_388_theme_10x7_intraday_canonical_continuation,historical_keep,keep_until_full_registry_backfill,6,472818,docs/reports/task_388_theme_10x7_intraday_canonical_continuation/artifact_manifest.csv
task_339_intraday_signal_strengthening,historical_keep,keep_until_full_registry_backfill,6,460057,docs/reports/task_339_intraday_signal_strengthening/artifact_manifest.csv
task_367_source_truth_replay,historical_keep,keep_until_full_registry_backfill,5,457171,docs/reports/task_367_source_truth_replay/artifact_manifest.csv
task_353_regime_continuation_sleeve,historical_keep,keep_until_full_registry_backfill,9,453505,docs/reports/task_353_regime_continuation_sleeve/artifact_manifest.csv
task_481_symbol_structure_robustness_and_failure_decomposition,historical_keep,keep_until_full_registry_backfill,19,434008,docs/reports/task_481_symbol_structure_robustness_and_failure_decomposition/artifact_manifest.csv
task_379_lifecycle_identity_reconciliation,historical_keep,keep_until_full_registry_backfill,9,395497,docs/reports/task_379_lifecycle_identity_reconciliation/artifact_manifest.csv
task_380_identity_review_protocol,historical_keep,keep_until_full_registry_backfill,9,382817,docs/reports/task_380_identity_review_protocol/artifact_manifest.csv
task_378_lifecycle_recovery,historical_keep,keep_until_full_registry_backfill,8,371325,docs/reports/task_378_lifecycle_recovery/artifact_manifest.csv
task_348_tactical_breakout_sleeve,historical_keep,keep_until_full_registry_backfill,8,359785,docs/reports/task_348_tactical_breakout_sleeve/artifact_manifest.csv
task_323_best_combo_evaluation,historical_keep,keep_until_full_registry_backfill,38,337716,docs/reports/task_323_best_combo_evaluation/artifact_manifest.csv
task_366_multi_event_dataset,historical_keep,keep_until_full_registry_backfill,6,326585,docs/reports/task_366_multi_event_dataset/artifact_manifest.csv
task_323_structural_breakout_audit,historical_keep,keep_until_full_registry_backfill,13,316614,docs/reports/task_323_structural_breakout_audit/artifact_manifest.csv
task_337_historical_intraday_ingestion,historical_keep,keep_until_full_registry_backfill,6,281509,docs/reports/task_337_historical_intraday_ingestion/artifact_manifest.csv
task_369_event_capture,historical_keep,keep_until_full_registry_backfill,7,276623,docs/reports/task_369_event_capture/artifact_manifest.csv
task_094,historical_keep,keep_until_full_registry_backfill,2,267746,docs/reports/task_094/artifact_manifest.csv
task_377_lifecycle_coverage_expansion,historical_keep,keep_until_full_registry_backfill,6,259407,docs/reports/task_377_lifecycle_coverage_expansion/artifact_manifest.csv
task_322_structural_breakout_quick,historical_keep,keep_until_full_registry_backfill,7,249653,docs/reports/task_322_structural_breakout_quick/artifact_manifest.csv
task_368_source_truth_lineage,historical_keep,keep_until_full_registry_backfill,6,246506,docs/reports/task_368_source_truth_lineage/artifact_manifest.csv
task_347_priority_overlay_translation,historical_keep,keep_until_full_registry_backfill,8,236181,docs/reports/task_347_priority_overlay_translation/artifact_manifest.csv
task_332_state_space_realignment,historical_keep,keep_until_full_registry_backfill,7,226746,docs/reports/task_332_state_space_realignment/artifact_manifest.csv
task_371_source_time_capture,historical_keep,keep_until_full_registry_backfill,10,223939,docs/reports/task_371_source_time_capture/artifact_manifest.csv
task_362_healthy_expansion_aggressive_policy,historical_keep,keep_until_full_registry_backfill,7,187155,docs/reports/task_362_healthy_expansion_aggressive_policy/artifact_manifest.csv
task_361_participation_quality,historical_keep,keep_until_full_registry_backfill,7,162322,docs/reports/task_361_participation_quality/artifact_manifest.csv
task_068b,historical_keep,keep_until_full_registry_backfill,2,157080,docs/reports/task_068b/artifact_manifest.csv
task_336_intraday_information,historical_keep,keep_until_full_registry_backfill,9,154398,docs/reports/task_336_intraday_information/artifact_manifest.csv
task_387_canonical_continuation_oos_overlay,historical_keep,keep_until_full_registry_backfill,8,137630,docs/reports/task_387_canonical_continuation_oos_overlay/artifact_manifest.csv
task_365_event_lifecycle,historical_keep,keep_until_full_registry_backfill,7,131001,docs/reports/task_365_event_lifecycle/artifact_manifest.csv
task_386_canonical_continuation_quality,historical_keep,keep_until_full_registry_backfill,7,121029,docs/reports/task_386_canonical_continuation_quality/artifact_manifest.csv
task_406_professional_multicombination_test,historical_keep,keep_until_full_registry_backfill,12,117468,docs/reports/task_406_professional_multicombination_test/artifact_manifest.csv
