path,type,purpose,created_or_modified,task_id
ops/task_registry.yaml,REGISTRY,TASK-4125 task tracking,modified,TASK-4125
ops/doc_registry.yaml,REGISTRY,TASK-4125 docs registered,modified,TASK-4125
configs/db_source_acquisition_scheduler.json,CONFIG,Stage 5 continuation task recorded,modified,TASK-4125
docs/active/CURRENT_TASKS.md,SSOT,TASK-4125 moved from optional to active continuation,modified,TASK-4125
docs/active/PROJECT_STATUS.md,SSOT,Full backfill continuation status recorded,modified,TASK-4125
docs/active/ACTIVE_SSOT_INDEX.md,SSOT,TASK-4125 evidence registered,modified,TASK-4125
docs/architecture/l0_source_acquisition_project_management_plan.md,GOVERNANCE,Continuation rule added,modified,TASK-4125
scripts/run_l0_stage5_full_backfill_continuation.py,SCRIPT,Resumable Stage 5 continuation runner,created,TASK-4125
scripts/validate_l0_stage5_full_backfill_continuation.py,VALIDATOR,Stage 5 continuation validator,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/report.md,TASK_REPORT,TASK-4125 report,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/artifact_manifest.csv,ARTIFACT_MANIFEST,TASK-4125 artifact manifest,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/validation_results.md,VALIDATION_REPORT,TASK-4125 validation report,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/stage5_full_backfill_continuation_summary.json,REFERENCE,Stage 5 continuation summary,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/task_4125_scope_freeze.csv,REFERENCE,Scope freeze,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/task_4125_source_family_plan.csv,REFERENCE,Source family plan,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/task_4125_api_or_raw_call_ledger.csv,REFERENCE,API/raw ledger,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/task_4125_raw_response_classification.csv,REFERENCE,Raw response classification,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/task_4125_normalized_source_packets.csv,REFERENCE,Normalized source packets,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/task_4125_decision_asof_coverage.csv,REFERENCE,Decision-asof coverage,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/task_4125_feature_admission_gate.csv,REFERENCE,Feature admission gate,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/task_4125_source_gap_ledger.csv,REFERENCE,Source gap ledger,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/task_4125_progress_ledger.csv,REFERENCE,Progress ledger,created,TASK-4125
docs/reports/task_4125_l0_stage_5_full_2016_to_present_backfill_continuation/task_4125_coverage_progress.csv,REFERENCE,Coverage progress,created,TASK-4125
