relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,2699,831a587c44c386d873273100149736a303d1445c374980e4b4dc495a29bcb4b1
gpt_chrome_review_packet.md,report,2254,bc5fade7e05d114c4372fcb030bbbfab3b56aa6ecd78beae81d0b6c43551ee30
task739_allowed_resolver_states.csv,small_table,4123,45cbe1a2f4b06ae2800bde92920cddf970c5312b0f1110ca5abd2ebd0682a080
task739_allowed_resolver_states.jsonl,other,8341,30df6211e5fcbd45b55cefc8a3e3bd4d727a0cc05bc2b697956a018ca6530c89
task739_comparator_join_contracts.csv,small_table,6647,1458cef844b7df56230a596f69f0b20debeabb16c90bcda3e931313a7ffa4e1f
task739_comparator_join_contracts.yaml,other,12006,af39d7cb42764ba78b45970cd1c0c49de39d9d75d8cad9018840e827ee1ee8c9
task739_coverage_report.csv,small_table,333,c3cfc270e0c53129d24e20e572ecc93de633fbaf3a5fa53d58acead69d7cad64
task739_denominator_join_contracts.csv,small_table,6372,b87fcac287749ab357c4d6048189a6d6ae3c8181042e30874ab1e2c393519f8c
task739_denominator_join_contracts.yaml,other,11560,87e0ff3aac56467a2198aadcad4951683e039aa0b2da2c8c6414468a4c44a1e0
task739_engineering_lane_summary.csv,small_table,239,cc35b6d43b9478bdd6a58654cb1e767ce15550442475f17b38ae6eb4992ac4dc
task739_extractor_work_orders.csv,small_table,11935,4b9193bb6712cc889ab67acaeff60b2ba496f16cd2b3a8872e7a2526af9ef078
task739_extractor_work_orders.jsonl,other,17195,e639649c2123409a5a71970e7afff0bfa0c569f30f0d3ddea775375e57ee3889
task739_gpt_review_summary.csv,small_table,650,51855f123e92ac8e9e59d054838ab04a98368308971185ea509c65316720f3b0
task739_guardrail.csv,small_table,590,d59e6f03f979ffbb4516aa7a4a4e5adcb95235f6e601e433ad958693acd01a55
task739_resolver_work_orders.csv,small_table,10149,913b59b523edab1f9f4a9629582cecfe2f8bed7b308ac9636e6ad02b4c1041e2
task739_resolver_work_orders.jsonl,other,15017,05cf1e25874405b22111fc1f0d04182c50a8dfcb0ae0b7bdd20455f4cbea5709
task739_timing_asof_contracts.csv,small_table,7131,efe3367542ef712ca41d5b823c6a2d3c5f47f1d9abd70c46c250c0a9d8d3b88f
task739_timing_asof_contracts.yaml,other,13003,9d59d8e8408279a98d83e605972556027ccaec457ded0af6cbc5c43c4407b9be
task739_work_order_requirement_trace.csv,small_table,1654348,99bd8978855ecbf35f15c76bc81594fac06c10cc85a637f33630b830e1b2922e
task739_work_order_requirement_trace.jsonl,other,2859822,76b9ac0ff0d821062ef520a6fc4f2bbd2067e3df2259d6503d0b7fa04a08e6e9
task_739_decision.csv,decision,673,516a4cb3f5e713040bdf72bea3ae6ff19fcd1b7b019214a9a34db9ee0c0b0a45
task_739_pass_fail_matrix.csv,small_table,490,601825e532d5b548a2f4e153cdcb0e7b4213b5a48e3f60a9c3a125411ef0a6aa
task_739_semantic_resolver_upgrade_workbench.md,report,27893,61bde455c96c21e38c7cf0e5c9706c5eeadb25ca03c135c0e5c5fe02388ec13e
