task_id,layer,decision,status,evidence,blocked_by,next_action,authority
Task921,adapter eligibility,define pass block contract for Task920 adapter rows,implemented,data/artifacts/task_921_930_controlled_adapter_gate/task921_adapter_eligibility_ledger.csv,theme_level_rows_and_l4_contradictions_blocked,use eligible rows only for controlled replay plan,DIAGNOSTIC_CONTROLLED_REPLAY_GATE_ONLY
Task922,symbol resolver,allow only 10-theme x 7-symbol universe symbols,implemented,data/artifacts/task_921_930_controlled_adapter_gate/task922_symbol_resolved_adapter_rows.csv,no_symbol_theme_level_rows_blocked,do not infer symbol from theme or proximity,DIAGNOSTIC_CONTROLLED_REPLAY_GATE_ONLY
Task923,side policy,assign long or skip only,implemented,data/artifacts/task_921_930_controlled_adapter_gate/task923_side_policy_ledger.csv,short_borrow_and_cost_gate_missing,keep short disallowed until explicit short gate exists,DIAGNOSTIC_CONTROLLED_REPLAY_GATE_ONLY
Task924,entry tradable after,assign next-session tradable-after and entry rule,implemented,data/artifacts/task_921_930_controlled_adapter_gate/task924_entry_tradable_after_policy.csv,calendar_or_eligibility_required,use tradable_after_ts only after decision_asof,DIAGNOSTIC_CONTROLLED_REPLAY_GATE_ONLY
Task925,exit invalidation,attach max-hold and L4 invalidation exit policy,implemented,data/artifacts/task_921_930_controlled_adapter_gate/task925_exit_invalidation_policy.csv,actual exit execution_not_run,use exit policy in controlled replay only,DIAGNOSTIC_CONTROLLED_REPLAY_GATE_ONLY
Task926,position sizing,assign equal-weight cohort sizing with 5 pct cap,implemented,data/artifacts/task_921_930_controlled_adapter_gate/task926_position_sizing_policy.csv,portfolio_optimizer_not_defined,keep deterministic sizing for first controlled replay,DIAGNOSTIC_CONTROLLED_REPLAY_GATE_ONLY
Task927,market data gate,attach Task880 70-symbol plus QQQ manifest,implemented,data/artifacts/task_921_930_controlled_adapter_gate/task927_market_data_manifest_gate.csv,manifest_is_diagnostic_not_live_source_ready,use only certified manifest rows for first controlled replay,DIAGNOSTIC_CONTROLLED_REPLAY_GATE_ONLY
Task928,cost slippage benchmark,freeze QQQ benchmark and cost slippage config,implemented,data/artifacts/task_921_930_controlled_adapter_gate/task928_cost_slippage_benchmark_config.csv,no_owner_accepted_replay_result_yet,use config in first controlled replay,DIAGNOSTIC_CONTROLLED_REPLAY_GATE_ONLY
Task929,controlled trade specs,build lineaged trade specs from eligible adapter rows,implemented,data/artifacts/task_921_930_controlled_adapter_gate/task929_controlled_trade_specs.csv,no_price_lookup_or_pnl,run controlled replay only after Task930 gate acceptance,DIAGNOSTIC_CONTROLLED_REPLAY_GATE_ONLY
Task930,first controlled replay gate,open next-step gate for controlled replay execution without running it,implemented,data/artifacts/task_921_930_controlled_adapter_gate/task930_first_controlled_replay_gate.csv,replay_not_executed,execute first controlled replay in next task if approved,DIAGNOSTIC_CONTROLLED_REPLAY_GATE_ONLY
