artifact_type,path,description,validation_status
code,tools/db/source_acquisition/public_market_macro_news_collector.py,RSS/API/sitemap/HTML/Common-Crawl/WordPress REST collector for public market macro context news with expanded 37-source live watcher defaults Guardian API backfill AP monthly sitemap backfill CNBC sitemap article-meta backfill Wikimedia Current Events monthly backfill CNN Money Common Crawl archive backfill and 12-source WordPress REST archive backfill,validated
code,scripts/run_l0_public_market_macro_news_collector.py,CLI wrapper for smoke/background/backfill modes,validated
code,scripts/start_l0_public_market_macro_news_collector.ps1,Background live watcher launcher with expanded 37-source default set,validated
code,scripts/start_l0_public_market_macro_news_backfill.ps1,Background Guardian AP CNBC Wikimedia Common Crawl The Hill TechCrunch Electrek Teslarati Semiconductor Engineering Bitcoin Magazine 9to5Mac 9to5Google PV Magazine USA SpaceNews Carbon Brief and Robot Report historical backfill launcher,validated
code,tools/db/news_l0_l1.py,L1 provider registration and ticker-mapping-not-required handling,validated
code,src/l2/news_runtime.py,L2 raw event loader for public_market_macro_news_feeds,validated
code,src/l2/builders/news_event_primitives.py,L2 news payload columns for section and summary fields,validated
code,src/brain/l3/source_reliability.py,L3 reliability classification for new provider,validated
code,tools/db/source_acquisition/l0_collection_status.py,Status reporting for live and backfill lanes including Guardian page offsets and CNBC sitemap entry offsets,validated
config,configs/source_registry/l0_public_news_capability_sources.json,External source context_scope/source_class annotations including NPR PBS ABC CBS Census Yahoo Finance NYT Fox Business RSS additions crypto energy commodity cyber semiconductor policy tech AI supply-chain biotech defense space logistics RSS additions AP CNBC Wikimedia Common Crawl backfill modes and WordPress REST archive sources,validated
config,configs/db_source_acquisition_scheduler.json,Source family and disabled scheduler job registration,validated
test,tests/test_l0_public_market_macro_news_collector.py,Collector unit tests for RSS Guardian backfill CNBC sitemap backfill Wikimedia Current Events backfill Common Crawl archive backfill WordPress REST backfill EV and external title gates and default source registry alignment,validated
test,tests/test_l2_news_canonical_path.py,L2 provider ingestion no-trade coverage,validated
test,tests/test_l0_collection_status.py,Status reporter aggregation coverage,validated
raw,data/raw/l0_public_market_macro_news_smoke,Real live RSS smoke raw responses and headline payloads,validated
raw,data/raw/l0_public_market_macro_news_backfill_smoke,Real Guardian 2016 smoke raw responses and headline payloads,validated
event_log,data/artifacts/l0_public_market_macro_news_smoke/collector_events.jsonl,Live RSS smoke event ledger with 120 rows,validated
event_log,data/artifacts/l0_public_market_macro_news_backfill_smoke/collector_events.jsonl,Guardian 2016 smoke event ledger with 50 rows,validated
event_log,data/artifacts/l0_public_market_macro_news/collector_events.jsonl,Production live watcher event ledger first cycle 250 rows,validated
event_log,data/artifacts/l0_public_market_macro_news_backfill/collector_events.jsonl,Production Guardian backfill event ledger first batch 400 rows,validated
db,data/artifacts/l0_public_market_macro_news_smoke/news_l2_smoke.db,Isolated L2 smoke DB with 170 news facts and no trade outputs,validated
raw,data/raw/l0_public_market_macro_news_expansion_smoke_v2,Real expanded live RSS smoke raw responses and headline payloads from 14 sources,validated
event_log,data/artifacts/l0_public_market_macro_news_expansion_smoke_v2/collector_events.jsonl,Expanded live RSS smoke event ledger with 403 rows 403 L1-ready context rows and 0 blocked,validated
db,data/artifacts/l0_public_market_macro_news_expansion_l2_smoke_v2/news_l2_smoke.db,Expanded 14-source L2 smoke DB with 403 news facts and no trade outputs,validated
raw,data/raw/l0_public_market_macro_news_cnbc_backfill_smoke_v4,Real CNBC 2016 sitemap/article-meta backfill smoke raw responses,validated
event_log,data/artifacts/l0_public_market_macro_news_cnbc_backfill_smoke_v4/collector_events.jsonl,CNBC 2016 historical smoke event ledger with 3 filtered context-ready rows and 0 blocked,validated
db,data/artifacts/l0_public_market_macro_news_cnbc_backfill_l2_smoke_v4/news_l2_smoke.db,CNBC historical L2 smoke DB with 3 news facts and no trade outputs,validated
raw,data/raw/l0_pm_wiki_bf_smoke_v3,Real Wikimedia Current Events 2016 monthly backfill smoke raw response,validated
event_log,data/artifacts/l0_pm_wiki_bf_smoke_v3/collector_events.jsonl,Wikimedia Current Events 2016 historical smoke event ledger with 20 filtered context-ready rows and 0 blocked,validated
db,data/artifacts/l0_pm_wiki_bf_l2_smoke_v3/news_l2_smoke.db,Wikimedia historical L2 smoke DB with 20 news facts and no trade outputs,validated
raw,data/raw/l0_pm_common_crawl_bf_smoke_v3,Real Common Crawl CDX/WARC 2016 archive backfill smoke raw responses,validated
event_log,data/artifacts/l0_pm_common_crawl_bf_smoke_v3/collector_events.jsonl,Common Crawl archive 2016 historical smoke event ledger with 2 filtered context-ready rows and 0 blocked,validated
db,data/artifacts/l0_pm_common_crawl_bf_l2_smoke_v3/news_l2_smoke.db,Common Crawl historical L2 smoke DB with 2 news facts and no trade outputs,validated
raw,data/raw/l0_pm_common_crawl_bf_smoke_v8,Real CNN Money Common Crawl CDX/WARC 2016 archive backfill smoke raw responses,validated
event_log,data/artifacts/l0_pm_common_crawl_bf_smoke_v8/collector_events.jsonl,CNN Money Common Crawl archive 2016 historical smoke event ledger with 11 filtered context-ready rows and 0 blocked,validated
db,data/artifacts/l0_pm_common_crawl_bf_l2_smoke_v8/news_l2_smoke.db,CNN Money Common Crawl historical L2 smoke DB with 11 news facts and no trade outputs,validated
raw,data/raw/l0_pm_wordpress_bf_smoke_v2,Real The Hill and TechCrunch WordPress REST 2016 archive backfill smoke raw responses,validated
event_log,data/artifacts/l0_pm_wordpress_bf_smoke_v2/collector_events.jsonl,The Hill and TechCrunch WordPress REST 2016 historical smoke event ledger with 80 context-ready rows and 0 blocked,validated
db,data/artifacts/l0_pm_wordpress_bf_l2_smoke_v2/news_l2_smoke.db,The Hill and TechCrunch WordPress REST historical L2 smoke DB with 80 news facts and no trade outputs,validated
raw,data/raw/l0_pm_ev_wp_bf_smoke_v1,Real Electrek and Teslarati WordPress REST 2016 archive backfill smoke raw responses,validated
event_log,data/artifacts/l0_pm_ev_wp_bf_smoke_v1/collector_events.jsonl,Electrek and Teslarati WordPress REST 2016 historical smoke event ledger with 80 context-ready rows and 0 blocked,validated
db,data/artifacts/l0_pm_ev_wp_bf_l2_smoke_v1/news_l2_smoke.db,Electrek and Teslarati WordPress REST historical L2 smoke DB with 80 news facts and no trade outputs,validated
