artifact_path,artifact_type,authority,notes
docs/reports/task_3841_frontend_product_ui_v1_10_loop/task_3841_frontend_product_ui_v1_10_loop.md,task_report,canonical,Task3841 closeout report.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/artifact_manifest.csv,artifact_manifest,canonical,Task3841 artifact manifest.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/task_3841_decision.csv,decision_record,canonical,Task3841 decision record.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop_ledger.csv,loop_ledger,canonical,Task3841 loop ledger.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop1_gpt_prompt.md,gpt_prompt,review_only,Loop 1 GPT prompt.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop1_gpt_response_summary.md,gpt_response_summary,review_only,Loop 1 GPT response summary.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop2_gpt_prompt.md,gpt_prompt,review_only,Loop 2 GPT prompt.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop2_gpt_response_summary.md,gpt_response_summary,review_only,Loop 2 GPT response summary.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop3_gpt_prompt.md,gpt_prompt,review_only,Loop 3 prompt.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop3_gpt_response_summary.md,gpt_response_summary,review_only,Loop 3 response summary.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop4_gpt_prompt.md,gpt_prompt,review_only,Loop 4 prompt.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop4_gpt_response_summary.md,gpt_response_summary,review_only,Loop 4 response summary.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop5_gpt_prompt.md,gpt_prompt,review_only,Loop 5 prompt.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop5_gpt_response_summary.md,gpt_response_summary,review_only,Loop 5 response summary.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop6_gpt_prompt.md,gpt_prompt,review_only,Loop 6 prompt.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop6_gpt_response_summary.md,gpt_response_summary,review_only,Loop 6 response summary.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop7_gpt_prompt.md,gpt_prompt,review_only,Loop 7 prompt.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop7_gpt_response_summary.md,gpt_response_summary,review_only,Loop 7 response summary.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop8_gpt_prompt.md,gpt_prompt,review_only,Loop 8 prompt.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop8_gpt_response_summary.md,gpt_response_summary,review_only,Loop 8 response summary.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop9_gpt_prompt.md,gpt_prompt,review_only,Loop 9 prompt.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop9_gpt_response_summary.md,gpt_response_summary,review_only,Loop 9 response summary.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop10_gpt_prompt.md,gpt_prompt,review_only,Loop 10 GPT review prompt.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/loop10_gpt_response_summary.md,gpt_response_summary,review_only,Loop 10 GPT PASS summary.
docs/reports/task_3841_frontend_product_ui_v1_10_loop/task_3841_frontend_inventory_reconciliation.md,inventory_report,canonical,Loop 2 local inventory reconciliation.
data/artifacts/task_3841_frontend_product_ui_v1_10_loop/screenshots/screenshot_capture_manifest_task3841.json,screenshot_manifest,not_authority,Task3841 screenshot manifest.
data/artifacts/task_3841_frontend_product_ui_v1_10_loop/screenshots/contact_sheet_iphone15_width_task3841.png,screenshot_contact_sheet,not_authority,Task3841 iPhone 15 contact sheet.
data/artifacts/task_3841_frontend_product_ui_v1_10_loop/screenshots,screenshot_directory,not_authority,Task3841 18 screenshot PNG artifacts.
