path,type,purpose,created_or_modified,task_id
ops/task_registry.yaml,REGISTRY,register TASK-4110 scope and closeout,modified,TASK-4110
ops/doc_registry.yaml,REGISTRY,register TASK-4110 docs,modified,TASK-4110
ops/dashboard/index.html,DASHBOARD,refresh dashboard with TASK-4110 status,modified,TASK-4110
ops/dashboard/dashboard_summary.json,DASHBOARD,refresh dashboard summary with TASK-4110 status,modified,TASK-4110
scripts/ops/scan_l0_artifact_retention.py,VALIDATOR,scan and delete obsolete L0 smoke/probe artifacts,created,TASK-4110
docs/reports/task_4110_l0_artifact_retention_cleanup/report.md,TASK_ARTIFACT,task report,created,TASK-4110
docs/reports/task_4110_l0_artifact_retention_cleanup/artifact_manifest.csv,TASK_ARTIFACT,artifact manifest,created,TASK-4110
docs/reports/task_4110_l0_artifact_retention_cleanup/validation_results.md,TASK_ARTIFACT,validation report,created,TASK-4110
docs/reports/task_4110_l0_artifact_retention_cleanup/l0_artifact_retention_inventory.csv,AUDIT_ARTIFACT,pre-delete L0 artifact classification inventory,created,TASK-4110
docs/reports/task_4110_l0_artifact_retention_cleanup/deleted_l0_artifacts.csv,AUDIT_ARTIFACT,deleted L0 artifact manifest,created,TASK-4110
docs/reports/task_4110_l0_artifact_retention_cleanup/post_delete_l0_artifact_retention_inventory.csv,AUDIT_ARTIFACT,post-delete retention inventory,created,TASK-4110
data/artifacts/ind_dive_exp_v019_bf_smoke,OBSOLETE_L0_ARTIFACT,smoke/probe/L2 smoke artifact superseded by canonical L0 outputs,deleted,TASK-4110
data/artifacts/ind_dive_smoke_v6,OBSOLETE_L0_ARTIFACT,smoke/probe/L2 smoke artifact superseded by canonical L0 outputs,deleted,TASK-4110
data/artifacts/l0_bar_full_backfill_smoke,OBSOLETE_L0_ARTIFACT,smoke/probe/L2 smoke artifact superseded by canonical L0 outputs,deleted,TASK-4110
data/artifacts/l0_industry_dive_expansion_v019_l2_smoke,OBSOLETE_L0_ARTIFACT,smoke/probe/L2 smoke artifact superseded by canonical L0 outputs,deleted,TASK-4110
data/artifacts/l0_industry_dive_expansion_v019_smoke_live,OBSOLETE_L0_ARTIFACT,smoke/probe/L2 smoke artifact superseded by canonical L0 outputs,deleted,TASK-4110
data/artifacts/l0_news_full_backfill_marketaux_token_smoke,OBSOLETE_L0_ARTIFACT,smoke/probe/L2 smoke artifact superseded by canonical L0 outputs,deleted,TASK-4110
