relative_path,artifact_class,size_bytes,sha256,notes
docs/reports/task_l3_canonical_economic_meaning_rebuild/l3_canonical_rebuild_report.md,report,not_computed,not_computed,Canonical diagnostic L3 rebuild report
docs/reports/task_l3_canonical_economic_meaning_rebuild/l3_canonical_rebuild_decision.csv,decision_csv,not_computed,not_computed,Canonical diagnostic L3 rebuild decision
docs/reports/task_l3_canonical_economic_meaning_rebuild/task742_unrecoverable_artifact_decision.csv,decision_csv,not_computed,not_computed,Task742 historical packet unrecoverable decision
docs/reports/task_l3_canonical_economic_meaning_rebuild/artifact_manifest.csv,manifest,not_computed,not_computed,Task artifact manifest
data/artifacts/task_l3_canonical_economic_meaning_rebuild/l3_canonical_economic_meanings.csv,artifact_csv,not_computed,not_computed,L3EconomicMeaningV2 canonical source-event diagnostic meanings
data/artifacts/task_l3_canonical_economic_meaning_rebuild/l3_canonical_evidence_edges.csv,artifact_csv,not_computed,not_computed,L3EvidenceEdge canonical diagnostic context edges
data/artifacts/task_l3_canonical_economic_meaning_rebuild/l3_canonical_relation_graphs.csv,artifact_csv,not_computed,not_computed,L3RelationGraph canonical diagnostic context graphs
data/artifacts/task_l3_canonical_economic_meaning_rebuild/l3_canonical_calibration_outcomes.csv,artifact_csv,not_computed,not_computed,Exact-bridge canonical diagnostic calibration outcome rows
data/artifacts/task_l3_canonical_economic_meaning_rebuild/l3_canonical_calibration_audit.csv,artifact_csv,not_computed,not_computed,Canonical diagnostic calibration audit buckets
src/brain/l3/canonical_diagnostic_engine.py,code,not_computed,not_computed,Canonical source-event to L3 diagnostic adapter and graph builder
scripts/build_l3_canonical_diagnostic_rebuild.py,builder_script,not_computed,not_computed,Builds canonical diagnostic L3 artifacts
scripts/validate_l3_canonical_diagnostic_rebuild.py,validator_script,not_computed,not_computed,Validates canonical diagnostic L3 safety and artifact contract
tests/test_l3_canonical_diagnostic_engine.py,test,not_computed,not_computed,Canonical diagnostic L3 unit tests
