path,type,purpose,created_or_modified,task_id
ops/task_registry.yaml,REGISTRY,TASK-4129 task scope and closeout tracking,modified,TASK-4129
ops/doc_registry.yaml,REGISTRY,TASK-4129 docs and artifacts registered,modified,TASK-4129
configs/db_source_acquisition_scheduler.json,CONFIG,Chrome smoke-only lane added while keeping scheduler closed,modified,TASK-4129
docs/active/CURRENT_TASKS.md,SSOT,TASK-4129 closeout recorded,modified,TASK-4129
docs/active/PROJECT_STATUS.md,SSOT,Risk burn-down state recorded,modified,TASK-4129
docs/active/ACTIVE_SSOT_INDEX.md,SSOT,TASK-4129 report registered as active evidence,modified,TASK-4129
docs/architecture/l0_source_acquisition_project_management_plan.md,CANONICAL_DOC,Risk burn-down policy added to L0/L1 roadmap,modified,TASK-4129
scripts/audit_l0_l1_risk_burn_down.py,SCRIPT,TASK-4129 audit runner,created,TASK-4129
scripts/validate_l0_l1_risk_burn_down.py,VALIDATOR,TASK-4129 validator,created,TASK-4129
docs/reports/task_4129_l0_l1_risk_burn_down_wikimedia_trading_scheduler_validator_chrome_mapping/report.md,TASK_REPORT,TASK-4129 report,created,TASK-4129
docs/reports/task_4129_l0_l1_risk_burn_down_wikimedia_trading_scheduler_validator_chrome_mapping/artifact_manifest.csv,ARTIFACT_MANIFEST,TASK-4129 artifact manifest,created,TASK-4129
docs/reports/task_4129_l0_l1_risk_burn_down_wikimedia_trading_scheduler_validator_chrome_mapping/validation_results.md,VALIDATION_REPORT,TASK-4129 validation report,created,TASK-4129
docs/reports/task_4129_l0_l1_risk_burn_down_wikimedia_trading_scheduler_validator_chrome_mapping/l0_l1_risk_burn_down_summary.json,REFERENCE,Risk burn-down summary,created,TASK-4129
docs/reports/task_4129_l0_l1_risk_burn_down_wikimedia_trading_scheduler_validator_chrome_mapping/task_4129_wikimedia_noon_policy.csv,REFERENCE,Wikimedia noon UTC context policy audit,created,TASK-4129
docs/reports/task_4129_l0_l1_risk_burn_down_wikimedia_trading_scheduler_validator_chrome_mapping/task_4129_trading_feature_admission_criteria.csv,REFERENCE,Trading feature admission criteria,created,TASK-4129
docs/reports/task_4129_l0_l1_risk_burn_down_wikimedia_trading_scheduler_validator_chrome_mapping/task_4129_scheduler_execution_qa.csv,REFERENCE,Scheduler execution/readiness QA,created,TASK-4129
docs/reports/task_4129_l0_l1_risk_burn_down_wikimedia_trading_scheduler_validator_chrome_mapping/task_4129_validator_split_audit.csv,REFERENCE,Historical/final validator split audit,created,TASK-4129
docs/reports/task_4129_l0_l1_risk_burn_down_wikimedia_trading_scheduler_validator_chrome_mapping/task_4129_chrome_crawl_posture.csv,REFERENCE,Chrome smoke-only crawl posture,created,TASK-4129
docs/reports/task_4129_l0_l1_risk_burn_down_wikimedia_trading_scheduler_validator_chrome_mapping/task_4129_mapping_hardening_audit.csv,REFERENCE,Ticker/news mapping hardening audit,created,TASK-4129
