relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1422,5e6998a3c250a86351913d57f558a31b88375aad4e3bac4bcfd3b2e13c94aed4
gpt_chrome_review_packet.md,report,2251,86006a11e5c1cb7105246b2c80287f95e397e0846f068c3dfae4c1349730d65a
task736_gpt_review_summary.csv,small_table,728,ab3906b16f1a3d0e8040becfb6e5fca00ba6f11ea9ac29cae7066b22bba1657e
task736_guardrail.csv,small_table,464,082508fc7753f020bca30a287acaee4aa543a31caa989481e418e76b4064e4ef
task736_layer_modifier_edges.csv,small_table,1662284,ba2d8dff95d11142cffe6faeed8847cc1fabe26399f932d9b450299b4bc689f8
task736_layer_modifier_edges.jsonl,other,3553664,57f0f2547cf7234a24affa3dd16328c06ba01c9f3a53b065cecdee5cfcc86956
task736_semantic_state_distribution.csv,small_table,1614,a130ce1f75084feb4258e98b91bbb67b08225d08adbfb1d3909b4277ecd7ca41
task736_semantic_translation.csv,small_table,2116784,ae7d39a3b98c6757c258fa36a85bc14f279796a62da664a3fbc4e1e82328318b
task736_semantic_translation.jsonl,other,5167139,721b71167fd3960c524afb208f45ab1f7f2ba59ed5f5ac9cccfbc6beb5a9d8ee
task736_transmission_channel_distribution.csv,small_table,1981,0b09b784279a40ccc345ba5cf14946f7865a756ad2d289158312338cd4a4510b
task_736_context_semantic_translator.md,report,8088,44a27bc9b073797ec88132b3a06f939535e5d7472208766a83fc7703b40d133d
task_736_decision.csv,decision,501,c0dc1eaa3bab948e62a058ce14c3b1ed18802b5c1a2aba7a473037ffc8b9fb24
task_736_pass_fail_matrix.csv,small_table,402,400f409c2f123776d536c7e706ae1f8bdca74c77266fd6edb7d9da69a661f51b
