task_id,layer,decision,status,evidence,blocked_by,next_action,authority
Task951,target gap,record Task941 slot10 baseline and target gap,implemented,data/artifacts/task_951_960_conviction_risk_filter_replay/task951_failure_and_target_gap.csv,cagr_30_not_met_and_filters_failed,return to conviction quality not broad veto layering,DIAGNOSTIC_CONVICTION_RISK_FILTER_REPLAY_ONLY
Task952,conviction price context,build prior-session-only price context panel,implemented,data/artifacts/task_951_960_conviction_risk_filter_replay/task952_conviction_price_context_panel.csv,price_context_did_not_improve_baseline,use only as diagnostic sidecar until stronger thesis quality exists,DIAGNOSTIC_CONVICTION_RISK_FILTER_REPLAY_ONLY
Task953,decision ledger,test cash QQQ hurdle regime theme drawdown policy decisions,implemented,data/artifacts/task_951_960_conviction_risk_filter_replay/task953_cash_qqq_regime_decision_ledger.csv,all_policy_variants_underperform_baseline,do not promote these decision policies,DIAGNOSTIC_CONVICTION_RISK_FILTER_REPLAY_ONLY
Task954,theme cap,compare theme cap impact,implemented,data/artifacts/task_951_960_conviction_risk_filter_replay/task959_conviction_risk_replay_summary.csv,theme_cap4_reduces_return_and_mdd_worsens,do not apply theme cap without better thesis diversity,DIAGNOSTIC_CONVICTION_RISK_FILTER_REPLAY_ONLY
Task955,regime drawdown throttle,test regime and drawdown throttles,implemented,data/artifacts/task_951_960_conviction_risk_filter_replay/task958_conviction_risk_equity_curves.csv,throttles_reduce_return_without_sufficient_mdd_relief,redesign risk controls after source conviction improves,DIAGNOSTIC_CONVICTION_RISK_FILTER_REPLAY_ONLY
Task956,source manifest,record source hashes,implemented,data/artifacts/task_951_960_conviction_risk_filter_replay/task956_conviction_risk_source_manifest.csv,diagnostic_sources_only,maintain reproducibility before next iteration,DIAGNOSTIC_CONVICTION_RISK_FILTER_REPLAY_ONLY
Task957,skips,record skipped orders,implemented,data/artifacts/task_951_960_conviction_risk_filter_replay/task957_conviction_risk_skipped_orders.csv,skips_not_primary_bottleneck,focus on selection quality,DIAGNOSTIC_CONVICTION_RISK_FILTER_REPLAY_ONLY
Task958,equity curves,validate cash and active throttle behavior,implemented,data/artifacts/task_951_960_conviction_risk_filter_replay/task958_conviction_risk_equity_curves.csv,active_throttle_does_not_force_close_existing_positions,keep no-new-entry throttle semantics explicit,DIAGNOSTIC_CONVICTION_RISK_FILTER_REPLAY_ONLY
Task959,replay summary,execute policy replays and compare with baseline,implemented,data/artifacts/task_951_960_conviction_risk_filter_replay/task959_conviction_risk_replay_summary.csv,best_policy_does_not_beat_baseline_slot10,reject tested filters for promotion,DIAGNOSTIC_CONVICTION_RISK_FILTER_REPLAY_ONLY
Task960,governance closeout,close Task951-960 as failed improvement diagnostic,implemented,data/artifacts/task_951_960_conviction_risk_filter_replay/task960_conviction_risk_governance_closeout.csv,strategy_not_accepted,design next pass around source-backed conviction freshness and duplicate thesis suppression,DIAGNOSTIC_CONVICTION_RISK_FILTER_REPLAY_ONLY
