relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1206,4a1e3001d164b8766a880fcfb13ee0e9057e20d64895a39d954fc35a3168826e
task685_active_cap3_source_audit.csv,small_table,10277,44e4e6f9d613b1657b2d69bda624a6889a72c69282240fb7e954d6b4e63b3b10
task685_engine_input_readiness_by_split.csv,small_table,461,4f4580322bb4d7cf1dbd7933df840b44d7f207c0f066431138e65175ecb3a039
task685_flag_distribution.csv,small_table,2307,b071546081f9b890add793ac57993f752559242ca20f592eb72d944706ca69e7
task685_guarded_identity_audit.csv,small_table,850,3a33ea3149bd432e399f30b45fd7455167f8cb2a77bc0d076f17017c1da8ef88
task685_pipeline_root_cause.csv,small_table,1931,8fbd6dcb392e9979dfd308e042d6f042572a4149096cf2092e55b7232ac2e3a8
task685_source_readiness_summary.csv,small_table,603,02f91d6b4b380f11313ccf198f76f55652dfbbedc7a8cc058249f71e72f2eb66
task_685_data_management_source_readiness_audit.md,report,8542,96d46b0c28e8329476b7bb2f004986062fa38e582368a8838c788a58e0fc2fa4
task_685_decision.csv,decision,545,4b0e618d5db5a9a45c21f294ff7c8b7a73e861b5b537d717dc87810e23c44c04
task_685_pass_fail_matrix.csv,small_table,493,8279c3230b7f7c1da9e918ffd9e22a4032fb1a9256003c247daa9c39cbf63739
