relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1868,59b34e43824abc8cf817e93ec9477d3734d11836a1663d6f5a175f88dae3a69d
gpt_chrome_review_packet.md,report,2243,898c168e5c0762071e1269b7c064db02bb75ddd6d08aaa6aa85be6a4f147bd6f
task740_completion_distribution.csv,small_table,109,98cb6d3c7676fcf62014dfcc1362eba8996051b6b450667778f521c5e07c91c1
task740_coverage_report.csv,small_table,282,e4a20a443ecdba7f765ddbcaa02b45f3eee79be148e6c320f78c2e3bcd06e49e
task740_extracted_primitives.csv,small_table,3089399,ea482665790794c9f311224e77d0218e7e307a7ae2e30494be05dc0fc7bb56ae
task740_extracted_primitives.jsonl,other,4190911,9c4a93c64864ab1c972a95b7d07d165bf1334e9a7056c10d3a18e0103752f3ba
task740_gpt_review_summary.csv,small_table,642,be7b30fd401f026caec4ae53e691fc45e0976ae0d32df385fd5c0b40cf022ab9
task740_guardrail.csv,small_table,377,283031cb1f02e4d391e716ff7615466c686c59eeb504e791f86717ccafd1ea65
task740_quality_metrics.csv,small_table,719,89d64f1b11a183e369ecc5bd702956fab871d5fb2f31cf2866e0e7979fc13610
task740_resolver_distribution.csv,small_table,1508,916bf775753fed46f2221d2193dc9749cfd78c3a046777ee062526c42a028ed2
task740_resolver_outputs.csv,small_table,1383775,2727631de5a1af0e20e197eca69a28041d68920a036f59bd5dfdb23f7c44cbb7
task740_resolver_outputs.jsonl,other,2939655,39925953c5e791f6ee16483a85efdae3e7d041f2fca3a557d085e56488f2915d
task740_unresolved_join_blockers.csv,small_table,1740597,e0fc18b1a09f7c2d1c257120752d386ad4ac089d28feac87cbcc25b34f593525
task740_unresolved_join_blockers.jsonl,other,2948885,132069e4dedc08d346d962ea18311a9101324d62fb9315a1d04b74eaefc8c16b
task_740_decision.csv,decision,635,a0291ea79da9a3b1276443fdd1f0a66a8dc60910573f3572496a556b90aa4716
task_740_engineering_high_resolver_completion.md,report,6326,af5c2b18978444f99ba596d743086d4d354f1212b98f708628a3dfe505abee03
task_740_pass_fail_matrix.csv,small_table,477,1fc448ed9b806281401da124601d7590db3276941eb96d37ce315893e6b96a25
