chain_id,source_family,required_chain,current_status,source_acquisition_required,proof_complete
freshness_chain_001,authority_evidence_ledger,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
freshness_chain_002,broker_truth_reconciliation,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
freshness_chain_003,catalog_report_artifacts,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
freshness_chain_004,daily_ohlcv,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
freshness_chain_005,diagnostic_runtime_heartbeats,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
freshness_chain_006,frontend_read_models,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
freshness_chain_007,indicator_snapshots,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
freshness_chain_008,macro_rates,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
freshness_chain_009,market_bars_5m,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
freshness_chain_010,market_ticks_intraday,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
freshness_chain_011,runtime_strategy_decisions,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
freshness_chain_012,sec_events,source_receipt -> reference_hash -> freshness_policy -> lineage_edge -> display_state,UNKNOWN/BLOCKER,operator_decision_required,false
