row_id,trade_id,symbol,bar_count,marker_count,overlay_marker_count,data_quality_flags,data_quality_status
TRADEDETAILQUALITY-00001,41006,AMD,155,0,1,[],PASS
TRADEDETAILQUALITY-00002,40987,AMD,155,0,1,[],PASS
TRADEDETAILQUALITY-00003,37482,MSFT,168,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00004,37419,MSFT,168,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00005,36992,MSFT,167,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00006,35543,MSFT,168,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00007,38238,MSFT,181,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00008,37867,AMD,171,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00009,37813,AMD,171,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00010,38718,AMZN,154,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00011,38693,AMZN,154,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00012,38518,AMZN,154,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00013,35196,AMD,177,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00014,35451,AMZN,165,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00015,35396,AMD,178,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00016,36643,AMZN,98,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00017,36625,AMZN,98,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00018,36548,AMZN,98,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00019,36698,AMD,149,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00020,36025,AMZN,104,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00021,35811,AMZN,103,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00022,36857,AMD,155,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00023,36477,AMD,155,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
TRADEDETAILQUALITY-00024,36731,AMD,155,0,1,['PARTIAL_RUNTIME_EVIDENCE'],PARTIAL
