lifecycle_id,symbol,entry_ts,split_name,theme_id,market_state,theme_state,playbook_id,mechanism_relation_state,catalyst_quality_tier,price_acceptance_state,accepted_flag,allocation_reason,size_multiplier,net_return_costed,candidate_name,split_scope
TASK617|GE|20240304T143000Z,GE,2024-03-06 14:30:00+00:00,train_design,industrial_automation_robotics,mixed_rotation_tape,neutral_participation,normal_participation,mechanism_reinforcing_company_positive,strong_catalyst,price_acceptance_strong,1,accepted,1.0,0.2881652961223527,baseline_task639,all
TASK617|GE|20240305T144500Z,GE,2024-03-07 14:30:00+00:00,train_design,industrial_automation_robotics,mixed_rotation_tape,neutral_participation,normal_participation,mechanism_reinforcing_company_positive,strong_catalyst,price_acceptance_strong,1,accepted,1.0,0.2719712698971189,baseline_task639,all
TASK617|GE|20240306T143000Z,GE,2024-03-08 14:30:00+00:00,train_design,industrial_automation_robotics,mixed_rotation_tape,neutral_participation,normal_participation,mechanism_reinforcing_company_positive,strong_catalyst,price_acceptance_strong,1,accepted,1.0,0.1884952550934319,baseline_task639,all
TASK617|GE|20240307T164500Z,GE,2024-03-11 14:30:00+00:00,train_design,industrial_automation_robotics,mixed_rotation_tape,neutral_participation,normal_participation,mechanism_reinforcing_company_positive,strong_catalyst,price_acceptance_strong,1,accepted,1.0,0.2051809813402684,baseline_task639,all
TASK617|GE|20240313T134500Z,GE,2024-03-15 14:30:00+00:00,train_design,industrial_automation_robotics,mixed_rotation_tape,neutral_participation,normal_participation,mechanism_reinforcing_company_positive,strong_catalyst,price_acceptance_strong,1,accepted,1.0,0.2267447397789276,baseline_task639,all
TASK617|GE|20240318T140000Z,GE,2024-03-20 14:30:00+00:00,train_design,industrial_automation_robotics,broad_risk_off,neutral_participation,normal_participation,mechanism_reinforcing_company_positive,strong_catalyst,price_acceptance_strong,0,max_positions_full,0.0,0.1251753597779724,baseline_task639,all
TASK617|GE|20240319T140000Z,GE,2024-03-21 14:30:00+00:00,train_design,industrial_automation_robotics,broad_risk_off,neutral_participation,normal_participation,mechanism_reinforcing_company_positive,strong_catalyst,price_acceptance_strong,0,max_positions_full,0.0,0.1135296890015621,baseline_task639,all
TASK617|GE|20240320T134500Z,GE,2024-03-22 14:30:00+00:00,train_design,industrial_automation_robotics,broad_risk_off,neutral_participation,normal_participation,mechanism_reinforcing_company_positive,strong_catalyst,price_acceptance_strong,0,max_positions_full,0.0,0.155108803026808,baseline_task639,all
TASK617|GE|20240403T134500Z,GE,2024-04-05 14:30:00+00:00,train_design,industrial_automation_robotics,broad_risk_off,neutral_participation,normal_participation,company_positive_needs_confirmation,medium_catalyst,price_acceptance_strong,0,max_positions_full,0.0,0.06528884755408369,baseline_task639,all
TASK617|GE|20240404T134500Z,GE,2024-04-08 14:30:00+00:00,train_design,industrial_automation_robotics,broad_risk_off,leadership_fading,research_only_sparse,sparse_mechanism_cell,strong_catalyst,price_acceptance_strong,0,max_positions_full,0.0,0.0202746281621023,baseline_task639,all
