relative_path,artifact_class,size_bytes,sha256
task_650_action_taxonomy.csv,small_table,1482,126e7f69515a86f7c15a2ddfcaea21a9a8abb5af272b3187357f4ecea4c81d7f
task_650_decision.csv,decision,238,f7b338bfd0c638b3ea80d64d5fcba0bf9491ad071f97891f87a6c90287b4bc17
task_650_gate_spec.csv,small_table,2718,e5fbd9066e1f37e6917485cce2c46c40035325ee320f8234ea73e5553c79b23e
task_650_gpt_round1_packet.txt,other,1223,621ee6babce8ca467f664a338cb15f3535e60c3b0e6f64438fc54a1fb4d23b46
task_650_gpt_round1_response.md,report,2147,48740249a8299b3d1573f1938b99c3ae59bec457af25c9884ec805baf452a660
task_650_gpt_round2_packet.txt,other,443,3324ce112381bfed75cfbb0bfaed65e066427a50889acc0a69cbf33e9c350f71
task_650_gpt_round2_response.md,report,1940,30c1dcc530b22f14afdf0198dfa5054d46f265e244d7fb87830eb078cd846bbb
task_650_relation_state_machine_design.md,report,3109,f6001eb5d793c34deb07ae7f6c666d228e44edf696db14875f42b597ebf20cee
task_650_relation_taxonomy.csv,small_table,1561,1d1fb0b2821a7844f23baf6947a000dc01b96bc991d0efba61067bd866b7c8db
task_650_validation_protocol.csv,small_table,1871,0849794e083458da2ba9db2854386aaf76583ee54aa063371fc18f6dfe9973ff
