metric,value,status,notes
decision_status,PRIMARY_PASS,PRIMARY_PASS,Public newswire collector implemented and smoke succeeded.
strategy_acceptance,NOT_ACCEPTED,PRIMARY_PASS,Data infrastructure only; no trading or deployment claim.
sec_api_key_present,0,PRIMARY_PASS,No SEC/EDGAR key in .env; SEC route does not require an API key.
sec_user_agent_required,1,PRIMARY_PASS,SEC access should use fair-access User-Agent posture.
smoke_sources,3,PRIMARY_PASS,PRNewswire GlobeNewswire BusinessWire tested.
smoke_rows_v3,75,PRIMARY_PASS,25 rows per source after deterministic mapping and gzip sitemap support.
smoke_mapped_rows_v3,23,PRIMARY_PASS,PRNewswire 4 GlobeNewswire 13 BusinessWire 6 mapped on exchange-tag or exact-alias evidence.
context_refine_smoke_rows_v6,100,PRIMARY_PASS,Real-network context refinement smoke exported 100 rows across currently responding sources.
context_refine_smoke_ticker_mapped_v6,28,PRIMARY_PASS,Rows with exchange-tag or exact-alias deterministic ticker evidence.
context_refine_smoke_context_ready_v6,27,PRIMARY_PASS,Unmapped but market/industry/macro thematic rows moved to NOT_REQUIRED_CONTEXT_NEWSWIRE without symbols.
context_refine_smoke_blocked_v6,45,PRIMARY_PASS,Low-signal or unmapped rows remain blocked.
context_refine_l2_smoke_facts_v6,101,PRIMARY_PASS,L2 context refinement smoke DB materialized 101 facts and no trade or score outputs.
context_refine_smoke_rows_v8,100,PRIMARY_PASS,Real-network v0.1.2 context refinement smoke exported 100 rows across currently responding sources.
context_refine_smoke_ticker_mapped_v8,37,PRIMARY_PASS,Rows with exchange-tag or exact-alias deterministic ticker evidence improved from 28 to 37.
context_refine_smoke_context_ready_v8,35,PRIMARY_PASS,Unmapped but high-signal thematic rows moved to NOT_REQUIRED_CONTEXT_NEWSWIRE without symbols improved from 27 to 35.
context_refine_smoke_blocked_v8,27,PRIMARY_PASS,Low-signal ambiguous or unmapped rows remain blocked reduced from 45 to 27.
context_refine_l2_smoke_facts_v8,101,PRIMARY_PASS,L2 context refinement v8 smoke DB materialized 101 facts and no trade or score outputs.
context_refine_smoke_rows_v9,100,PRIMARY_PASS,Real-network v0.1.3 context refinement smoke exported 100 rows across currently responding sources.
context_refine_smoke_ticker_mapped_v9,35,PRIMARY_PASS,Rows with exchange-tag or exact-alias deterministic ticker evidence.
context_refine_smoke_context_ready_v9,35,PRIMARY_PASS,Unmapped high-signal thematic rows moved to NOT_REQUIRED_CONTEXT_NEWSWIRE without symbols.
context_refine_smoke_blocked_v9,29,PRIMARY_PASS,Low-signal ambiguous or unmapped rows remain blocked.
context_refine_l2_smoke_facts_v9,101,PRIMARY_PASS,L2 context refinement v9 smoke DB materialized 101 facts and no trade or score outputs.
offline_replay_live_blocked_converted_v013,89/374,PRIMARY_PASS,v0.1.3 context rules converted 89 of 374 latest live BLOCKED_UNMAPPED rows to context-only without symbols.
offline_replay_backfill_blocked_converted_v013,33/1000,PRIMARY_PASS,v0.1.3 context rules converted 33 of 1000 latest backfill BLOCKED_UNMAPPED rows to context-only without symbols.
regular_background_pid,7196,PRIMARY_PASS,public_newswire_feeds background collector restarted with v0.1.3 context-aware mapper.
regular_rows_snapshot,3250,PRIMARY_PASS,Status report shows 3250 cumulative watcher rows across three sources after v0.1.3 restart.
regular_l1_ready_discovery_snapshot,1117,PRIMARY_PASS,Current status report includes mapped discovery-ready rows from the mapper-aware background cycle.
regular_l1_context_ready_snapshot,343,PRIMARY_PASS,Current status report includes newswire context-ready rows.
l2_smoke_facts,75,PRIMARY_PASS,L2 mapping smoke DB materialized 75 public_newswire_feeds facts.
backfill_smoke_rows_v2,15,PRIMARY_PASS,Bounded historical backfill smoke exported 5 rows per source for 2026-06-26.
backfill_smoke_mapped_rows_v2,5,PRIMARY_PASS,BusinessWire mapped 5 rows; PRNewswire and GlobeNewswire rows were captured but unmapped by strict evidence policy.
backfill_l2_smoke_facts,15,PRIMARY_PASS,L2 backfill smoke DB materialized 15 public_newswire_feeds facts with no trade or score outputs.
backfill_context_refine_smoke_rows_v3,60,PRIMARY_PASS,Bounded January 2016 backfill context-refinement smoke exported 60 rows from the responding source.
backfill_context_refine_l2_smoke_facts_v3,62,PRIMARY_PASS,L2 backfill context-refinement smoke DB materialized 62 facts and no trade or score outputs.
backfill_background_pid,4332,PRIMARY_PASS,Separate historical backfill worker restarted with 2016-01-01 start date and v0.1.3 mapper.
