surface,path,classification,owner_profile,action,task_id
governance_prompts,ops/prompts,canonical_prompt_surface,DOCS_GOVERNANCE,keep,TASK-4192
legacy_root_prompts,prompts,removed_legacy_alias,DOCS_GOVERNANCE,keep_absent,TASK-4192
codex_skills,.codex/skills,flat_runtime_skill_surface,DOCS_GOVERNANCE,keep_flat_register_each_skill,TASK-4192
context-bundle-builder,.codex/skills/context-bundle-builder/SKILL.md,governance_harness,DOCS_GOVERNANCE,registered,TASK-4192
docs-governance,.codex/skills/docs-governance/SKILL.md,governance_harness,DOCS_GOVERNANCE,registered,TASK-4192
task-closeout,.codex/skills/task-closeout/SKILL.md,governance_harness,TASK_CLOSEOUT,registered,TASK-4192
l0-l1-data-pipeline,.codex/skills/l0-l1-data-pipeline/SKILL.md,layer_skill,L0_L1_DATA_PIPELINE,registered,TASK-4192
l2-interpretation,.codex/skills/l2-interpretation/SKILL.md,layer_skill,L2_INTERPRETATION,registered,TASK-4192
l3-relationship,.codex/skills/l3-relationship/SKILL.md,layer_skill,L3_RELATIONSHIP,registered,TASK-4192
l4-thesis-bundle,.codex/skills/l4-thesis-bundle/SKILL.md,layer_skill,L4_THESIS_BUNDLE,registered,TASK-4192
l5-policy-action,.codex/skills/l5-policy-action/SKILL.md,layer_skill,L5_POLICY_ACTION,registered,TASK-4192
l6-execution-safety,.codex/skills/l6-execution-safety/SKILL.md,layer_skill,L6_EXECUTION_SAFETY,registered,TASK-4192
ui-storybook-vision,.codex/skills/ui-storybook-vision/SKILL.md,layer_skill,UI_STORYBOOK_VISION,registered,TASK-4192
ops_harness,scripts/ops,governance_harness,DOCS_GOVERNANCE,keep,TASK-4192
layer_harness,scripts,layer_wrappers,MIXED_BY_PROFILE,keep_named_by_layer,TASK-4192
source_tools,tools/db,l0_l1_source_tool_package,L0_L1_DATA_PIPELINE,keep_import_path_stable,TASK-4192
app_surfaces,apps,user_facing_apps,UI_STORYBOOK_VISION,keep,TASK-4192
source_code,src,reusable_source_code,MIXED_BY_PROFILE,keep,TASK-4192
contracts,schemas,machine_contracts,MIXED_BY_PROFILE,keep,TASK-4192
documents,docs,human_docs_and_reports,DOCS_GOVERNANCE,keep,TASK-4192
artifacts,data,data_and_runtime_artifacts,MIXED_BY_PROFILE,owner_review_before_cleanup,TASK-4192
