decision_item,status,metric,value,evidence_path,notes
strategy_acceptance,DATA_INFRASTRUCTURE_ONLY_NOT_DEPLOYMENT_READY,capital_or_deployment_ready,0,docs/reports/task_l0_news_3source_full_backfill/l0_news_3source_full_backfill_report.md,Raw source collection only.
official_smoke,accepted,smoke_exported,1,docs/reports/task_l0_news_3source_full_backfill/news_3source_smoke_evidence.csv,Apple Newsroom RSS exported.
gdelt_smoke,accepted,smoke_exported,1,docs/reports/task_l0_news_3source_full_backfill/news_3source_smoke_evidence.csv,GDELT archive chunk exported.
marketaux_smoke,accepted,credential_present,1,data/artifacts/l0_news_full_backfill_marketaux_token_smoke/progress.json,Token-backed smoke reached provider and logged no secret value.
official_full_universe,blocked,missing_verified_official_endpoint_symbols,12040,data/artifacts/l0_news_full_backfill/official_endpoint_missing_universe.csv,Missing official endpoints are reported not approximated.
gdelt_full_backfill,running,requests_per_minute_cap,12,data/artifacts/l0_news_full_backfill/background_process.json,GDELT archive background worker restarted at 12 rpm.
gdelt_full_backfill,running,archive_zip_files_at_snapshot,25,data/raw/l0_news_full_backfill/provider=gdelt_news_events,GDELT archive files exported as raw zip chunks.
marketaux_full_backfill,running,daily_request_cap,95,data/artifacts/l0_news_full_backfill/background_process.json,Token-backed worker running under local cap below free-plan allowance.
forbidden_actions,accepted,trade_authority_flag,0,data/artifacts/l0_news_full_backfill/collector_events.jsonl,Discovery sources remain non-authority.
forbidden_actions,accepted,broker_mutation_permitted_flag,0,data/artifacts/l0_news_full_backfill/collector_progress.json,No broker mutation path added.
forbidden_actions,accepted,real_capital_permitted_flag,0,data/artifacts/l0_news_full_backfill/collector_progress.json,Real capital remains forbidden.
