metric,value,status,notes
decision_status,DATA_INFRASTRUCTURE_ONLY_NOT_DEPLOYMENT_READY,PRIMARY_PASS,Data acquisition infrastructure only; no strategy/deployment gate opened.
strategy_acceptance,NOT_ACCEPTED,PRIMARY_PASS,No PnL or strategy acceptance claim.
tick_quote_trade_full_collection,POSTPONED,PRIMARY_PASS,User-directed scope change; prior collector stopped with STOP_REQUESTED.
bar_background_collector,SPLIT_RUNNING,PRIMARY_PASS,PID 8936 writes 5m market_bars_5m rows and daily shard PIDs 4924 15804 14628 2372 write daily raw CSVs.
news_background_collector,RUNNING,PRIMARY_PASS,PID 22388 continues official/GDELT/Marketaux lanes.
reference_snapshot,PRIMARY_PASS,PRIMARY_PASS,Alpaca active/inactive assets calendar 2016-2026 and current clock/status exported.
collection_status_snapshot,PRIMARY_PASS,PRIMARY_PASS,Consolidated status JSON/Markdown generated under data/artifacts/l0_collection_status.
daily_l1_output,data/raw/us_daily_alpaca_full_universe,PRIMARY_PASS,Loader-compatible daily CSV schema.
five_min_l2_output,trading.db::market_bars_5m,PRIMARY_PASS,Existing L2 live runtime source table.
rate_limit_events,0,PRIMARY_PASS,No rate-limit events at snapshot.
provider_empty_windows,RECORDED_NOT_APPROXIMATED,PRIMARY_PASS,Older Alpaca IEX 5m windows may be empty and remain source-readiness evidence.
one_minute_bar_collection,NOT_IN_CURRENT_L1_L2_MINIMUM_SCOPE,PRIMARY_PASS,Current L1 L2 consumers use daily CSV and market_bars_5m while full 1m would add about 5x 5m volume.
news_source_breakdown,PRIMARY_PASS,PRIMARY_PASS,Status reporter now separates Official GDELT and Marketaux progress with source specific units.
hourly_progress_report,ACTIVE_UPDATED,PRIMARY_PASS,Heartbeat report now includes news source breakdown and 1m scope rationale.
