relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1376,6dff908b646f870ce693947bb2d01793555da325591b9b0f72059646c155bf0c
task_644_account_grid.csv,small_table,20443,e01ff2107d389267927ae721baf3d5fd061ebbd0db812e87429c8c3fa56e83d7
task_644_conditional_candidate_panel.csv,large_panel,62285488,88c94179ad43a5f9f77c56d26f388aa7cd2c04b085715891a3d3fb98115364c0
task_644_decision.csv,decision,779,3ea95f982a8deef22a01a91866a533cb416801008bffa107c463e269a9f25160
task_644_firm_grade_conditional_wrapper.md,report,18072,8483376c7a38f73052590d9a27b429ecf7796c5e338fd8798cf904ecb8767245
task_644_gpt_design_packet.txt,other,2590,1fb64f69e637bcff402bb3e64fd40e803b817082b9da1c5b8b02c41670149b6c
task_644_gpt_design_response.md,report,4292,53a8b52f1621ed4ccab73c23193c29e443a80042bb01dbb20a7cf8f230abd917
task_644_gpt_result_packet.txt,other,1778,696173d851a9a73d8f6e6025e23f263666d721812624cf52d4a0266f73f86994
task_644_gpt_result_response.md,report,4066,98eb64e63010838f713dcef49a2d658c573eb8508f6792e357618bdd9c169361
task_644_oos_grid.csv,small_table,38192,9544616c513e28d572af15723b36908ef25b95a1461e1a8cede0e4491911d1c2
task_644_pass_fail_matrix.csv,small_table,802,8450466e48d224c9db78af3bd58a97b5613ef4d4c2b61e041713562cd2917edb
task_644_source_audit.csv,small_table,256,3da3c376858337ab1952545655314ee781cc6e8930c3f921002fcb4991959ab9
