relative_path,artifact_class,size_bytes,sha256
artifact_manifest.csv,small_table,1858,43681f965111a1faf708065821e3c7e736da5c22245001d5dc2df8f329c90fbf
task_651_account_comparison.csv,small_table,1441,30931fa445e0ee04ce8cdd8c68b42078e97e201c1609591a59ed2a4d55c464fa
task_651_action_performance.csv,small_table,1092,2df8f351ec61414cd387a3c2105bb7d2b5ed29aa0783313e60b24c9f13410722
task_651_decision.csv,decision,838,1860a9a6d3b1afed429c34817a62a58b50eb02bd6b659ac1704629c2b01abb00
task_651_false_block_reduce_review.csv,small_table,326,ec2780317211124aab0430a9e920b90d121ccef90d0a412381326b7c66ec8a57
task_651_gate_state_panel.csv,large_panel,98854926,27a8f561365122ba1e5574704362b5421dddf05042d0b0a280a35ce7dcb7228b
task_651_gpt_result_review_response.md,report,755,02c8f99043fce41c099f75631a1cd9d092899f136ad99ae135b438cfc9bb362c
task_651_gpt_review_packet.md,report,345,c1fdd65d4c91f7aa4c05b53eecedbe7ea53c837b020b23826a0fe6c73fd44c15
task_651_gpt_review_response.md,report,701,6e69d17799858c4da9c6871d020a2136c45825308f4d1cf62d437df1240be102
task_651_leakage_audit.csv,small_table,219,72e4165024530d67457a6be8915887e0706c415734d8084e4a9b8f6546c53fba
task_651_pass_fail_matrix.csv,small_table,1129,e2671830f43361a0020c0a23ddc675053604e7252e36812023e158a7827f4390
task_651_relation_performance.csv,small_table,1020,0dbb793aef9d25f1fb15e59c68bc73218d97aaf301d46c94598409a8e8646c39
task_651_relation_state_machine.md,report,8162,f9e3ffba518c555dcddba573ceaba8f29c9f73e9c6be68bfd263d379c85dde03
task_651_representative_execution_panel.csv,small_table,944923,3e758c45fc384efce67b544414c56f1f1679bc17da12624cebdc4a222785905a
task_651_source_audit.csv,small_table,336,6e8f846a28f99d09f44ab65499e88f69b86052f9b3dd1983067da1fe808d99df
task_651_sparse_cell_report.csv,small_table,4528,dd9de49574f99d11096af0b0df4baa21711b6df84af3da69ba28d0f5a0f208f5
