artifact,path,description
implementation_screenshot,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_impl_3053_427x922_dsf2.png,Latest Scanner implementation captured at 427x922 CSS with deviceScaleFactor 2
chart_card_crop,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_impl_3053_chart_card_crop.png,Latest chart-card crop verifying OHLC readout no longer covers candles
bottom_readability_crop,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_impl_3053_bottom_readability_crop.png,Latest bottom status/event/nav crop verifying typography reduction
side_by_side_comparison,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_ref2_vs_impl_3053_side_by_side.png,Latest Reference 2 and implementation side-by-side comparison
header_filters_theme_focus,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_ref2_vs_impl_3053_header_filters_theme.png,Focused Reference 2 header/filter/theme-strip comparison
candidate_list_focus,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_ref2_vs_impl_3053_candidate_list.png,Focused Reference 2 candidate-list comparison
chart_card_focus,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_ref2_vs_impl_3053_chart_card.png,Focused Reference 2 chart-card comparison
bottom_nav_focus,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_ref2_vs_impl_3053_bottom_nav.png,Focused Reference 2 bottom-nav comparison
visual_audit_csv,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_ref2_vs_impl_3053_visual_audit.csv,Section-level mean-color and comparison manifest
cli_screenshot_iter1,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_impl_3041_cli_427x922.png,Initial old-build detection screenshot
cli_screenshot_iter2,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_impl_3042_cli_427x922.png,First rebuilt scanner CLI screenshot
cli_screenshot_iter3,data/artifacts/task_3301_3320_mobile_scanner_pixel_build/scan_impl_3043_cli_427x922.png,Second rebuilt scanner CLI screenshot
report,docs/reports/task_3301_3320_mobile_scanner_pixel_build/task_3301_3320_mobile_scanner_pixel_build.md,Task report
decision,docs/reports/task_3301_3320_mobile_scanner_pixel_build/task_3320_decision.csv,Task decision row
validator,scripts/trader_brain_3301_3320_mobile_scanner_pixel_build_validate.py,Focused validator
visual_audit_script,scripts/trader_brain_3331_3340_mobile_scanner_visual_audit.py,Focused side-by-side crop generator
