candidate_id,source_family,issue_type,evidence_file,current_status,cleanup_action_type,destructive_action_required,implement_now_allowed,blocker_reason,notes
cleanup-001,authority_evidence_ledger,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,authority evidence generated in blocked diagnostic mode; no paper/live gates opened,Classify why authority remains blocked before any gate discussion.
cleanup-002,authority_evidence_ledger,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,authority evidence generated in blocked diagnostic mode; no paper/live gates opened,Keep strict gate closed until independent certification exists.
cleanup-003,authority_evidence_ledger,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,authority evidence generated in blocked diagnostic mode; no paper/live gates opened,Keep proxy gate closed until independent certification exists.
cleanup-004,authority_evidence_ledger,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,authority evidence generated in blocked diagnostic mode; no paper/live gates opened,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
cleanup-005,broker_truth_reconciliation,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,current broker-truth blocker row; no broker API call and no broker truth completion claim,Classify why authority remains blocked before any gate discussion.
cleanup-006,broker_truth_reconciliation,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,current broker-truth blocker row; no broker API call and no broker truth completion claim,Keep strict gate closed until independent certification exists.
cleanup-007,broker_truth_reconciliation,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,current broker-truth blocker row; no broker API call and no broker truth completion claim,Keep proxy gate closed until independent certification exists.
cleanup-008,broker_truth_reconciliation,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,current broker-truth blocker row; no broker API call and no broker truth completion claim,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
cleanup-009,catalog_report_artifacts,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,derived read-only artifact lineage only; not source truth,Classify why authority remains blocked before any gate discussion.
cleanup-010,catalog_report_artifacts,FRESHNESS_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,STALE,REPORT_ONLY_CLASSIFICATION,false,true,derived read-only artifact lineage only; not source truth,Classify stale/missing/current evidence without converting it to permission.
cleanup-011,catalog_report_artifacts,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,derived read-only artifact lineage only; not source truth,Keep strict gate closed until independent certification exists.
cleanup-012,catalog_report_artifacts,PROXY_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,derived read-only artifact lineage only; not source truth,Keep proxy gate closed until independent certification exists.
cleanup-013,catalog_report_artifacts,DIAGNOSTIC_LEDGER_ONLY,data/artifacts/task_3845_source_authority_gate_10_loop/authority_ledger_summary.csv,PASS_DIAGNOSTIC,REPORT_ONLY_CLASSIFICATION,false,true,derived read-only artifact lineage only; not source truth,"Treat diagnostic receipts, hashes, and lineage as evidence inputs only."
cleanup-014,daily_ohlcv,AUTHORITY_STATUS_BLOCKED,data/artifacts/task_3845_source_authority_gate_10_loop/source_inventory.csv,BLOCKED,REPORT_ONLY_CLASSIFICATION,false,true,cached daily_ohlcv provider acquisition evidence; gates remain closed until certification,Classify why authority remains blocked before any gate discussion.
cleanup-015,daily_ohlcv,STRICT_GATE_CLOSED,data/artifacts/task_3845_source_authority_gate_10_loop/freshness_certification_matrix.csv,0,REPORT_ONLY_CLASSIFICATION,false,true,cached daily_ohlcv provider acquisition evidence; gates remain closed until certification,Keep strict gate closed until independent certification exists.
