artifact_path,artifact_type,authority,notes
docs/reports/task_3836_frontend_screenshot_capture_loop/task_3836_frontend_screenshot_capture_loop.md,task_report,canonical,Task3836 closeout report.
docs/reports/task_3836_frontend_screenshot_capture_loop/artifact_manifest.csv,artifact_manifest,canonical,Task3836 artifact manifest.
docs/reports/task_3836_frontend_screenshot_capture_loop/task_3836_decision.csv,decision_record,canonical,Task3836 decision record.
docs/reports/task_3836_frontend_screenshot_capture_loop/loop1_gpt_prompt.md,gpt_prompt,review_only,Initial GPT planning prompt.
docs/reports/task_3836_frontend_screenshot_capture_loop/loop1_gpt_response_snapshot.txt,gpt_response_snapshot,review_only,Initial GPT response DOM snapshot.
docs/reports/task_3836_frontend_screenshot_capture_loop/loop2_capture_summary.md,capture_summary,canonical,Loop 2 capture summary.
docs/reports/task_3836_frontend_screenshot_capture_loop/loop3_gpt_review_prompt.md,gpt_prompt,review_only,GPT visual review prompt.
docs/reports/task_3836_frontend_screenshot_capture_loop/loop3_gpt_review_response_snapshot.txt,gpt_response_snapshot,review_only,GPT visual review response DOM snapshot.
docs/reports/task_3836_frontend_screenshot_capture_loop/loop4_gpt_after_repair_prompt.md,gpt_prompt,review_only,GPT after-repair review prompt.
docs/reports/task_3836_frontend_screenshot_capture_loop/loop4_gpt_after_repair_response_snapshot.txt,gpt_response_snapshot,review_only,GPT after-repair review response DOM snapshot.
docs/reports/task_3836_frontend_screenshot_capture_loop/loop5_gpt_closeout_prompt.md,gpt_prompt,review_only,GPT closeout review prompt.
docs/reports/task_3836_frontend_screenshot_capture_loop/loop5_gpt_closeout_response_snapshot.txt,gpt_response_snapshot,review_only,GPT closeout review response DOM snapshot.
docs/reports/task_3836_frontend_screenshot_capture_loop/loop_ledger.csv,loop_ledger,canonical,Task3836 5-loop ledger.
data/artifacts/task_3836_frontend_actual_screenshot_capture/screenshot_capture_manifest.json,screenshot_manifest,not_authority,Before repair screenshot manifest.
data/artifacts/task_3836_frontend_actual_screenshot_capture/contact_sheet_iphone15_width.png,screenshot_contact_sheet,not_authority,Before repair iPhone 15 width contact sheet.
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/screenshot_capture_manifest_after.json,screenshot_manifest,not_authority,Intermediate after-repair screenshot manifest showing first repair was insufficient.
data/artifacts/task_3836_frontend_actual_screenshot_capture/after/contact_sheet_iphone15_width_after.png,screenshot_contact_sheet,not_authority,Intermediate after-repair iPhone 15 width contact sheet.
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/screenshot_capture_manifest_after2.json,screenshot_manifest,not_authority,Final after2 screenshot manifest.
data/artifacts/task_3836_frontend_actual_screenshot_capture/after2/contact_sheet_iphone15_width_after2.png,screenshot_contact_sheet,not_authority,Final after2 iPhone 15 width contact sheet.
